event,censored,base,hedge_pnl,total,triggered,outcome
555,0,0.06,0,0.06,0,0
556,0,0,0,0,0,0
557,1,0,0,0,0,0
558,1,0,0,0,0,0
559,1,0,0,0,0,0
560,1,0,0,0,0,0
561,1,0,0,0,0,0
562,0,12.36,0,12.36,0,0
563,0,12.45,0,12.45,0,0
564,0,0,0,0,0,0
565,0,12.08,0,12.08,0,0
566,0,0.08,0,0.08,0,0
567,1,0,0,0,0,0
568,0,0.09,-2.61,-2.52,1,1
569,0,-27.34,1.93,-25.41,1,2
570,0,0.01,0,0.01,0,0
571,0,0.03,0,0.03,0,0
572,0,0.01,0,0.01,0,0
573,0,12.35,0,12.35,0,0
574,0,0.24,0,0.24,0,0
575,0,0.16,0,0.16,0,0
576,0,13.97,0,13.97,0,0
577,0,14.24,0,14.24,0,0
578,0,14.14,0,14.14,0,0
579,0,0.32,0,0.32,0,0
580,0,0.06,0,0.06,0,0
581,0,17.24,0,17.24,0,0
582,0,16.8,0,16.8,0,0
583,0,15.55,0,15.55,0,0
584,0,17.35,0,17.35,0,0
585,1,0,0,0,0,0
586,0,0.88,-3.45,-2.57,1,1
587,0,-39.55,3.13,-36.42,1,2
588,0,16.29,0,16.29,0,0
589,0,16.62,0,16.62,0,0
590,0,0.15,0,0.15,0,0
591,0,17.28,0,17.28,0,0
592,0,0.08,0,0.08,0,0
593,0,0.11,0,0.11,0,0
594,1,0,0,0,0,0
595,0,0.06,0,0.06,0,0
596,0,0.06,0,0.06,0,0
597,0,13.54,0,13.54,0,0
598,0,-32.65,-3.42,-36.07,1,1
599,0,13.83,0,13.83,0,0
600,0,-35.28,-3.12,-38.4,1,1
601,0,-34.9,2.72,-32.18,1,2
602,0,14.81,0,14.81,0,0
603,0,0.04,0,0.04,0,0
604,0,0.27,-3.33,-3.06,1,1
605,0,0.03,0,0.03,0,0
606,0,-42.71,3.04,-39.67,1,2
607,0,17.69,0,17.69,0,0
608,0,0.17,-4.14,-3.97,1,1
609,0,0.23,-4.67,-4.44,1,1
610,0,0.15,0,0.15,0,0
611,0,0.09,0,0.09,0,0
612,0,0.77,0,0.77,0,0
613,1,0,0,0,0,0
614,0,-40.81,3.2,-37.61,1,2
615,0,0.17,0,0.17,0,0
616,0,0.61,0,0.61,0,0
617,0,0.1,0,0.1,0,0
618,0,0.03,-3.26,-3.23,1,1
619,0,0.04,0,0.04,0,0
620,0,0.06,0,0.06,0,0
621,0,13.12,0,13.12,0,0
622,0,0.01,0,0.01,0,0
623,0,-31.2,2.09,-29.11,1,2
624,0,12.79,0,12.79,0,0
625,0,0.29,0,0.29,0,0
626,0,0.03,-3.42,-3.39,1,1
627,0,0.07,0,0.07,0,0
628,0,13.11,0,13.11,0,0
629,0,13.85,0,13.85,0,0
630,0,13.5,0,13.5,0,0
631,0,15.48,0,15.48,0,0
632,0,0.01,0,0.01,0,0
633,0,14.8,0,14.8,0,0
634,0,0.02,0,0.02,0,0
635,0,0.01,0,0.01,0,0
636,0,11.34,0,11.34,0,0
637,0,14.12,0,14.12,0,0
638,0,0.31,0,0.31,0,0
639,1,0,0,0,0,0
640,0,14.59,0,14.59,0,0
641,1,0,0,0,0,0
642,0,0.02,0,0.02,0,0
643,0,0.06,0,0.06,0,0
644,0,10.46,0,10.46,0,0
645,0,0.04,0,0.04,0,0
646,0,10.87,0,10.87,0,0
647,1,0,0,0,0,0
