block,spec,idx,decision,score,feedback_mean_R,upgrade,actual_R,feedback_n
2024Q4,EV_FB180,4035,2024-10-25 00:00:00,0.0235195947911089,-0.12496416076729415,0,-0.2524344569288325,17
2024Q4,EV_FB180,4037,2024-10-25 08:00:00,-0.0004702252944754,-0.1320458438873796,0,-0.5633100697906515,18
2024Q4,EV_FB180,4039,2024-10-25 16:00:00,0.1382664643001173,-0.1320458438873796,0,0.0542452830188353,18
2024Q4,EV_FB180,4040,2024-10-25 20:00:00,0.1790042484352417,-0.1320458438873796,0,-0.3136813681368215,18
2024Q4,EV_FB180,4042,2024-10-28 08:00:00,0.2031216514943408,-0.13181306375454097,0,-0.6618392469225463,20
2024Q4,EV_FB180,4044,2024-10-28 16:00:00,0.1016788484855802,-0.15705240581016028,0,2.9789132197891512,21
2024Q4,EV_FB180,4047,2024-10-29 04:00:00,-0.1092166391619995,-0.15705240581016028,0,1.893575754971752,21
2024Q4,EV_FB180,4049,2024-10-29 12:00:00,-0.2065198614733211,-0.15705240581016028,0,2.804738471845276,21
2024Q4,EV_FB180,4051,2024-10-29 20:00:00,0.0235180134683184,-0.15705240581016028,0,0.3250526315789389,21
2024Q4,EV_FB180,4052,2024-10-30 00:00:00,-0.0334039347351734,-0.15705240581016028,0,0.1526436447254966,21
2024Q4,EV_FB180,4053,2024-10-30 04:00:00,-0.0113706032469067,-0.15705240581016028,0,-0.1852121753491004,21
2024Q4,EV_FB180,4055,2024-10-30 12:00:00,-0.1125896104089324,-0.1514637305541088,0,-1.0,20
2024Q4,EV_FB180,4058,2024-10-31 00:00:00,0.1348907098714852,0.01248596546754155,1,-0.1762028608582586,22
2024Q4,EV_FB180,4060,2024-10-31 08:00:00,-0.2766698448910912,0.03322426818221655,0,7.178498985800768,22
2024Q4,EV_FB180,4065,2024-11-01 04:00:00,0.1730149978612414,0.03322426818221655,1,-1.0,22
2024Q4,EV_FB180,4071,2024-11-04 08:00:00,0.6506249288567261,-0.011698526086575478,0,-0.27006039689388,23
2024Q4,EV_FB180,4074,2024-11-04 20:00:00,0.0661739849674439,0.041624476452852444,1,-0.1784431137724853,21
2024Q4,EV_FB180,4075,2024-11-05 00:00:00,-0.0932242096221944,0.02745698220981915,0,-0.2696035242290722,22
2024Q4,EV_FB180,4078,2024-11-05 12:00:00,0.1655994455306214,0.07638350517219147,1,-0.0611439842209262,21
2024Q4,EV_FB180,4084,2024-11-06 12:00:00,0.1351197404719699,0.05932463089663519,1,2.663989856297573,23
2024Q4,EV_FB180,4090,2024-11-07 12:00:00,0.2136372523470421,0.05932463089663519,1,2.74488961569911,23
2024Q4,EV_FB180,4095,2024-11-08 08:00:00,0.1258009279662542,0.16785234862167422,1,-0.1552179656538922,24
2024Q4,EV_FB180,4096,2024-11-08 12:00:00,-0.059166892863015,0.27093383930477166,0,-1.0,25
