market,sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,m1_owner_at_sweep,m1_path,m1_direct_transfer,m1_one_reneg,d14,d24,d24_age,d1_atr,broken_m5_level,trigger_spread,parent_entry,parent_sl,parent_risk,limit_entry,planned_sl,planned_risk,improved,geom,scale,acceptance,menv_n_prior,med_scale,med_accept,menv_hh,h_auth,l1_auth,l2_auth,module,prospective_fill_time,pnl_R,outcome,resolved_at,accepted,exposure_blocked,menv_n_prior_carry,med_scale_carry,med_accept_carry,menv_hh_carry
BTCUSD#,2026-08-22 08:11:00,1,76621.15,2026-08-21 21:45:00,2026-08-21 23:15:00,1947,1,76484.85,2026-08-22 10:05:00,77613.55,-1,67004,-1,"1,-1,1,-1,1",False,False,1,1,126,1985.7714285714285,77560.35,15.0,77628.55,76484.85,1143.699999999997,77601.95000000001,76484.85,1117.1000000000058,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-08-23 07:08:00,1,76768.15,2026-08-23 01:00:00,2026-08-23 03:30:00,1959,1,76716.15,2026-08-23 07:15:00,76999.85,-1,67252,-1,1,True,False,-1,-1,8,2126.0428571428565,76983.25,15.0,77014.85,76716.15,298.70000000001164,77006.55,76716.15,290.4000000000088,True,True,0.1365917902474793,0.007807932913598,34,0.1528980172933075,0.0150980568334303,False,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,False
BTCUSD#,2026-08-23 14:54:00,-1,77395.45,2026-08-23 04:00:00,2026-08-23 05:15:00,1960,1,77396.15,2026-08-23 15:10:00,77129.85,1,67347,1,-1,True,False,1,1,1,2126.0428571428565,77173.05,15.0,77129.85,77411.15,281.2999999999884,77151.45000000001,77411.15,259.69999999998254,True,True,0.1221518179313599,0.0203194398715238,35,0.1509762373240504,0.0144821800642942,False,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,False
BTCUSD#,2026-08-23 16:19:00,-1,77651.05,2026-08-22 10:00:00,2026-08-22 13:00:00,1952,1,77755.45,2026-08-23 17:45:00,77011.15,1,67378,1,"-1,1,-1,1,-1,1,-1",False,False,1,1,1,2126.0428571428565,77403.45,15.0,77011.15,77770.45,759.3000000000029,77207.29999999999,77770.45,563.1500000000087,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-08-26 00:08:00,1,77859.45,2026-08-24 16:45:00,2026-08-24 17:15:00,1969,1,77829.45,2026-08-26 01:05:00,78705.45,-1,68042,-1,1,True,False,-1,-1,2,2495.1928571428566,78631.95,15.0,78720.45,77829.45,891.0,78683.7,77829.45,854.25,True,True,0.3423583061143285,0.0294566409123829,36,0.1477513483281471,0.0150980568334303,True,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,True
BTCUSD#,2026-08-26 12:47:00,1,78293.55,2026-08-26 03:00:00,2026-08-26 04:45:00,1983,1,78231.75,2026-08-26 13:20:00,78524.85,-1,68189,-1,1,True,False,-1,-1,11,2495.1928571428566,78484.25,15.0,78539.85,78231.75,308.1000000000058,78519.55,78231.75,287.8000000000029,True,True,0.1153417857766517,0.0162712873611281,37,0.1509762373240504,0.0157139336025664,False,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,False
BTCUSD#,2026-08-28 04:33:00,-1,81264.45,2026-08-25 05:30:00,2026-08-25 07:30:00,1972,2,81441.05,2026-08-28 04:55:00,80610.85,1,68664,1,-1,True,False,1,1,18,2619.778571428571,80676.45,15.0,80610.85,81456.05,845.1999999999971,80643.65,81456.05,812.4000000000087,True,True,0.3101025441081477,0.0250402842115848,38,0.1477513483281471,0.0159926104818473,True,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,True
GOLD#,2026-01-06 10:27:00,-1,4474.18,2026-01-06 07:30:00,2026-01-06 08:00:00,12,1,4475.89,2026-01-06 11:05:00,4463.96,1,588,1,"-1,1,-1",False,True,1,1,25,,4464.25,0.16,4463.96,4476.05,12.090000000000146,4464.105,4476.05,11.945000000000618,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
GOLD#,2026-01-07 08:46:00,1,4442.52,2026-01-06 12:00:00,2026-01-06 13:45:00,15,1,4441.43,2026-01-07 09:50:00,4462.09,-1,849,-1,"1,-1,1",False,True,-1,-1,3,,4460.37,0.2,4462.29,4441.43,20.859999999999676,4461.429999999999,4441.43,19.99999999999909,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
GOLD#,2026-01-07 15:10:00,1,4427.92,2026-01-06 03:00:00,2026-01-06 04:00:00,11,1,4427.74,2026-01-07 15:55:00,4448.77,-1,922,-1,"1,-1,1",False,True,-1,-1,2,,4447.2,0.18,4448.950000000001,4427.74,21.210000000000942,4448.165000000001,4427.74,20.42500000000109,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
GOLD#,2026-01-09 14:33:00,1,4464.05,2026-01-09 10:45:00,2026-01-09 14:00:00,37,1,4461.13,2026-01-09 15:05:00,4469.58,-1,1464,-1,"1,-1,1",False,True,-1,1,12,,4468.28,0.17,4469.75,4461.13,8.61999999999989,4469.1,4461.13,7.970000000000255,True,True,,,0,,,False,False,False,True,L2,2026-01-09 15:05:00,-1.0,SL,2026-01-09 15:30:00,True,False,0,,,False
GOLD#,2026-01-14 14:59:00,-1,4639.66,2026-01-14 07:30:00,2026-01-14 08:00:00,58,1,4641.76,2026-01-14 15:10:00,4629.66,1,2293,1,-1,True,False,1,1,13,,4633.72,0.17,4629.66,4641.93,12.270000000000437,4631.6900000000005,4641.93,10.239999999999782,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
GOLD#,2026-01-14 21:02:00,-1,4641.76,2026-01-14 14:45:00,2026-01-14 15:15:00,60,1,4642.89,2026-01-14 22:05:00,4631.91,1,2376,1,"-1,1,-1,1,-1,1,-1",False,False,1,1,3,,4634.57,0.18,4631.91,4643.070000000001,11.160000000000764,4633.24,4643.070000000001,9.830000000000837,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
GOLD#,2026-01-20 02:29:00,1,4659.73,2026-01-19 13:45:00,2026-01-19 14:45:00,87,1,4659.5,2026-01-20 03:05:00,4668.42,-1,3221,-1,1,True,False,-1,1,23,,4666.47,0.16,4668.58,4659.5,9.079999999999927,4667.605,4659.5,8.104999999999563,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
