idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision,source,score,prior_q50,prior_q75,w
5707,2025,k3p,LONG,0.5149116141676439,-1.0,-0.7168445135114444,2.6387118033945,-0.7452626016152032,-8.600000000000364,1876,6,2025-12-09 20:00:00,q50,-0.7168445135114444,-0.2740857038267423,-0.17756805490013175,0
5708,2025,k3p,LONG,0.2848627954284481,-1.0,-0.4209168401018451,1.6958629695916734,-0.7411888479747493,-14.090000000000146,1876,6,2025-12-10 00:00:00,q50,-0.4209168401018451,-0.2740857038267423,-0.17756805490013175,0
5709,2025,k3p,LONG,0.2984701662147946,-1.0,-0.5852580900177876,2.366936610341412,-1.0,-13.328639158989972,1876,6,2025-12-10 04:00:00,q50,-0.5852580900177876,-0.2740857038267423,-0.17756805490013175,0
5710,2025,k3p,LONG,1.5115040216343,-1.0,-0.6909277939233527,2.8446200375751296,-1.0,-7.553069579494149,1876,6,2025-12-10 08:00:00,q50,-0.6909277939233527,-0.2740857038267423,-0.17756805490013175,0
5711,2025,k1,SHORT,0.0072196742783588,-1.0,-0.3267514990588105,1.5666232950780106,-0.2166940789473889,-5.270000000000437,1877,2,2025-12-10 12:00:00,q50,-0.3267514990588105,-0.2999698855817012,-0.1470111604626776,0
5712,2025,k2,SHORT,0.33031854,-1.0,-0.6079530868014137,2.935081633001525,0.0890099909173064,0.9799999999995634,1877,2,2025-12-10 16:00:00,q10,-1.0,-0.980660795244496,-0.671987786463027,0
5713,2025,k1,LONG,-0.116149746,-1.0,-0.971479748839478,2.208668140291788,-1.0,-11.8100000000004,1878,3,2025-12-10 20:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
5714,2025,k2,LONG,0.35516006,-0.6545918872757966,-0.3749660867834181,0.4719005618781147,-0.5319686631286413,-21.050000000000185,1878,3,2025-12-11 00:00:00,q50,-0.3749660867834181,-0.3411000767669566,-0.1696042543093169,0
5715,2025,k3p,LONG,0.0730430028060454,-0.5823657233951672,-0.2373676696267896,0.7583673126253292,-0.5486222222222326,-30.860000000000586,1878,3,2025-12-11 04:00:00,q50,-0.2373676696267896,-0.2740857038267423,-0.17756805490013175,1
5716,2025,k1,SHORT,-0.1007032916860974,-0.7483377080700662,-0.2143870004328521,0.4330558773421413,-0.3348303393213597,-13.420000000000073,1879,2,2025-12-11 08:00:00,q50,-0.2143870004328521,-0.2999698855817012,-0.1470111604626776,1
5717,2025,k2,SHORT,-0.515302,-1.0,-0.4838349160275172,1.083373708130793,-0.1084337349397683,-2.430000000000291,1879,2,2025-12-11 12:00:00,q10,-1.0,-0.980660795244496,-0.671987786463027,0
5718,2025,k1,LONG,-0.32736865,-1.0,-0.6410327977750255,0.8181751603789096,4.428313253012207,73.51000000000022,1880,7,2025-12-11 16:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
5719,2025,k2,LONG,0.36215004,-0.6545918872757966,-0.1130556113214056,1.2638038699017105,0.214120212620963,15.710000000000036,1880,7,2025-12-11 20:00:00,q50,-0.1130556113214056,-0.3411000767669566,-0.1696042543093169,3
5720,2025,k3p,LONG,-0.0406425252130803,-0.8442725157606108,-0.2286438268321098,0.4912784829069874,0.2282611824865968,14.289999999999964,1880,7,2025-12-12 00:00:00,q50,-0.2286438268321098,-0.2740857038267423,-0.17756805490013175,1
