universe,policy,sl_arm,block,n,resolved,wins,losses,wr,total_R,mean_R,PF,maxDD,avg_win_R,med_win_R,avg_loss_R,payoff,amb,cens,position_mode
SAME_NEAREST,FIRST_TARGET,FIXED_50,COMBINED_2024_2025H1_2026JF,328.0,323.0,270.0,53.0,0.8359133126934984,20.639799999999976,0.06390030959752314,1.3894301886792448,4.8816000000000255,0.2727399999999999,0.1753999999999996,-1.0,0.2727399999999999,0.0,5.0,INDEPENDENT
SAME_NEAREST,FIRST_TARGET,H1_STRUCT,COMBINED_2024_2025H1_2026JF,328.0,325.0,238.0,87.0,0.7323076923076923,17.406143066378398,0.053557363281164304,1.2000706099583724,7.590058845336781,0.43868127338814455,0.31397599521339226,-1.0,0.43868127338814455,0.0,3.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_10,COMBINED_2024_2025H1_2026JF,328.0,317.0,58.0,259.0,0.1829652996845426,94.18199999999985,0.29710410094637174,1.3700944274818154,58.05500000000003,6.011431034482756,4.094500000000016,-0.9825521235521234,6.118180288237762,6.0,5.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_15,COMBINED_2024_2025H1_2026JF,328.0,319.0,74.0,245.0,0.23197492163009403,65.58666666666656,0.2056008359456632,1.286546471324964,49.468,3.979369369369368,2.7083333333333486,-0.9342312925170068,4.259511965873192,2.0,7.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_20,COMBINED_2024_2025H1_2026JF,328.0,309.0,85.0,224.0,0.2750809061488673,68.50299999999993,0.22169255663430398,1.346749680472773,44.64199999999997,3.130123529411763,2.092000000000007,-0.881953125,3.5490815108929548,8.0,11.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_25,COMBINED_2024_2025H1_2026JF,328.0,312.0,94.0,218.0,0.30128205128205127,56.90439999999994,0.18238589743589723,1.3172692643936552,41.66279999999996,2.513417021276595,1.7848000000000046,-0.822737614678899,3.0549436131682643,4.0,12.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_30,COMBINED_2024_2025H1_2026JF,328.0,306.0,99.0,207.0,0.3235294117647059,51.90533333333333,0.16962527233115468,1.333797071376359,37.711666666666616,2.0949999999999993,1.4663333333333413,-0.7512061191626406,2.7888484219687504,8.0,14.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_40,COMBINED_2024_2025H1_2026JF,328.0,303.0,103.0,200.0,0.33993399339933994,33.689750000000004,0.11118729372937294,1.2694307044517572,31.168749999999946,1.5410703883495138,1.0460000000000036,-0.6252024999999999,2.464913989226713,5.0,20.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_50,COMBINED_2024_2025H1_2026JF,328.0,301.0,106.0,195.0,0.3521594684385382,27.6248,0.09177674418604652,1.273235848011521,25.381799999999956,1.2144075471698113,0.8189000000000033,-0.5184738461538461,2.3422734939834586,4.0,23.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,H1_STRUCT,COMBINED_2024_2025H1_2026JF,328.0,276.0,90.0,186.0,0.32608695652173914,128.02551501001764,0.4638605616304987,1.8922886543857096,28.388058906058035,3.0167271834512266,1.8405859224041001,-0.7713974811859824,3.9107298857304666,31.0,21.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_10,2024,110.0,108.0,30.0,78.0,0.2777777777777778,46.07499999999985,0.42662037037036893,1.6109689310861506,14.091000000000031,4.0495999999999945,2.0870000000000117,-0.9668333333333331,4.188519220823991,2.0,0.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_10,2025H1,50.0,49.0,16.0,33.0,0.32653061224489793,47.62500000000004,0.9719387755102049,2.5215168844445888,11.614000000000033,4.932875000000001,3.894999999999982,-0.9485151515151509,5.200628574166964,0.0,1.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_10,2026JF,26.0,25.0,2.0,23.0,0.08,42.53199999999988,1.7012799999999952,2.8492173913043426,17.0,32.76599999999994,32.76599999999994,-1.0,32.76599999999994,0.0,1.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_15,2024,99.0,96.0,31.0,65.0,0.3229166666666667,23.783999999999878,0.24774999999999872,1.410503060707873,8.970666666666693,2.6362150537634363,1.320666666666663,-0.8913641025641023,2.957506417613282,3.0,0.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_15,2025H1,43.0,42.0,17.0,25.0,0.40476190476190477,37.11600000000008,0.8837142857142876,2.6396889909878127,7.416000000000018,3.5148235294117676,2.928000000000005,-0.9054399999999987,3.881895574982078,0.0,1.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_15,2026JF,26.0,25.0,2.0,23.0,0.08,20.687999999999917,0.8275199999999967,1.8994782608695615,17.0,21.84399999999996,21.84399999999996,-1.0,21.84399999999996,0.0,1.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_20,2024,93.0,88.0,31.0,57.0,0.3522727272727273,18.98049999999987,0.21568749999999853,1.4269502429368333,6.908500000000027,2.046338709677417,0.9904999999999972,-0.7799298245614041,2.623747220883855,4.0,1.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_20,2025H1,40.0,38.0,17.0,21.0,0.4473684210526316,26.69850000000006,0.7025921052631595,2.464777527843314,5.812000000000012,2.642676470588237,2.196000000000004,-0.8679523809523798,3.0447251814535057,1.0,1.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_20,2026JF,23.0,22.0,3.0,19.0,0.13636363636363635,17.432499999999937,0.7923863636363607,1.9174999999999964,16.0,12.144166666666644,3.6664999999999965,-1.0,12.144166666666644,0.0,1.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_25,2024,90.0,85.0,31.0,54.0,0.36470588235294116,14.58639999999988,0.17160470588235152,1.4033537226099713,6.3456000000000135,1.6370709677419333,0.7923999999999978,-0.6696814814814823,2.4445516458367242,4.0,1.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_25,2025H1,38.0,37.0,18.0,19.0,0.4864864864864865,21.191600000000072,0.5727459459459479,2.3551002660118776,3.4147999999999765,2.046111111111112,1.5066000000000077,-0.8230736842105235,2.4859391696792037,0.0,1.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_25,2026JF,22.0,21.0,3.0,18.0,0.14285714285714285,11.14599999999995,0.5307619047619023,1.6192222222222192,15.0,9.715333333333316,2.933199999999997,-1.0,9.715333333333316,0.0,1.0,ONE_POSITION
CONTROL,CHALLENGE_EXIT,FIXED_30,2024,87.0,83.0,31.0,52.0,0.37349397590361444,13.314666666666568,0.16041767068272975,1.4494553965253358,5.28800000000001,1.3851182795698902,0.7363333333333382,-0.5696923076923084,2.4313445361070145,3.0,1.0,ONE_POSITION
