idx,ts,arrival_side,ref,before,after,primary,resolution,eligible,topology,d_same,d_opp,next_side,hit,nearest_bsl,nearest_ssl,m1_open,m1_high,m1_low,m1_close,block,ratio_same_opp
279,2024-09-27 17:59:00,DOWN,2649.73,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,27.179999999999836,35.7800000000002,DOWN,True,2685.51,2622.55,2651.36,2651.43,2649.31,2649.43,2024,0.7596422582448207
280,2024-09-30 13:32:00,DOWN,2643.06,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,20.509999999999764,31.220000000000255,DOWN,True,2674.28,2622.55,2644.68,2644.98,2642.23,2643.14,2024,0.6569506726457269
281,2024-10-03 12:10:00,DOWN,2641.08,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,16.429999999999836,22.2800000000002,UP,False,2663.36,2624.65,2642.49,2642.56,2640.96,2641.32,2024,0.7374326750448693
283,2024-10-04 15:53:00,DOWN,2637.29,CHALLENGED,ACTIVE,DOWN,OLD_PRIMARY_WINS,True,SAME_NEAREST,12.639999999999873,35.75,DOWN,True,2673.04,2624.65,2638.66,2639.18,2637.07,2637.68,2024,0.35356643356643
284,2024-10-08 05:30:00,DOWN,2637.71,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,5.710000000000036,21.809999999999945,DOWN,True,2659.52,2632.0,2637.98,2638.63,2636.54,2637.16,2024,0.2618065107748762
285,2024-10-08 10:03:00,DOWN,2632.0,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,7.349999999999909,27.519999999999982,DOWN,True,2659.52,2624.65,2633.41,2633.8,2631.7,2632.84,2024,0.2670784883720899
286,2024-10-08 17:32:00,DOWN,2624.65,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,2.099999999999909,34.86999999999989,DOWN,True,2659.52,2622.55,2626.4,2626.69,2624.59,2625.97,2024,0.06022368798393793
287,2024-10-08 17:35:00,DOWN,2622.55,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,8.789999999999964,36.9699999999998,DOWN,True,2659.52,2613.76,2624.28,2624.45,2622.45,2623.07,2024,0.23776034622667058
288,2024-10-08 18:07:00,DOWN,2613.76,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,28.980000000000018,45.75999999999976,DOWN,True,2659.52,2584.78,2615.08,2615.12,2612.78,2614.64,2024,0.6333041958041995
289,2024-10-10 15:30:00,DOWN,2604.71,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,19.929999999999836,19.570000000000164,UP,False,2624.28,2584.78,2612.15,2621.8,2601.64,2619.0,2024,1.0183955033213934
