child_id,at,event,source,minute
2024OOS-COU0140,2024-06-07 12:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-06-07 12:00:00
2024OOS-COU0140,2024-06-07 09:19:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-06-07 09:19:00
2024OOS-COU0140,2024-06-07 10:15:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-06-07 10:15:00
2024OOS-COU0141,2024-06-11 05:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-06-11 05:00:00
2024OOS-COU0141,2024-06-10 14:54:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-06-10 14:54:00
2024OOS-COU0141,2024-06-10 23:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-06-10 23:00:00
2024OOS-COU0142,2024-06-11 12:30:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-06-11 12:30:00
2024OOS-COU0142,2024-06-11 11:08:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-06-11 11:08:00
2024OOS-COU0142,2024-06-11 12:15:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-06-11 12:15:00
2024OOS-WIT0038,2024-06-11 22:30:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-06-11 22:30:00
2024OOS-WIT0038,2024-06-11 22:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-06-11 22:30:00
2024OOS-WIT0039,2024-06-13 14:22:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-06-13 14:22:00
2024OOS-COU0143,2024-06-14 12:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-06-14 12:00:00
2024OOS-COU0143,2024-06-14 04:06:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-06-14 04:06:00
2024OOS-COU0143,2024-06-14 04:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-06-14 04:30:00
2024OOS-COU0145,2024-06-17 16:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-06-17 16:00:00
