cluster_id,block,direction,touch_hour,price_low,price_high,object_count,families,timeframes,object_ids,has_FVG_OB,has_H4,state,role,accepted_through_4h_2close,object_direction_dominant_24h,state_direction_dominant_24h,favorable_points,adverse_points
POIC0081,2025H1,BEAR,2025-02-12 16:00:00,2890.88,2895.67,1,OB,H1,H1_OB_BEAR_20250212_0900_VIA_20250212_1200,False,False,BALANCE,BALANCE,True,False,,11.355000000000018,29.434999999999945
POIC0082,2025H1,BEAR,2025-02-12 23:00:00,2901.76,2901.91,1,FVG,H1,H1_FVG_BEAR_20250212_2100,False,False,BALANCE,BALANCE,True,False,,1.7049999999999272,27.264999999999876
POIC0083,2025H1,BEAR,2025-02-13 05:00:00,2915.28,2923.68,2,FVG;OB,H1,H1_FVG_BEAR_20250211_1000;H1_OB_BEAR_20250211_0700_VIA_20250211_1100,True,False,UP,OPPOSING,False,False,True,13.639999999999873,14.329999999999927
POIC0084,2025H1,BEAR,2025-02-13 16:00:00,2913.89,2919.34,1,OB,H1,H1_OB_BEAR_20250213_1200_VIA_20250213_1500,False,False,UP,OPPOSING,False,False,True,10.134999999999764,23.325000000000276
POIC0085,2025H1,BEAR,2025-02-14 15:00:00,2932.91,2934.34,1,FVG,H1,H1_FVG_BEAR_20250214_1400,False,False,BALANCE,BALANCE,False,True,,56.684999999999945,-0.4250000000001819
POIC0086,2025H1,BEAR,2025-02-17 01:00:00,2887.81,2917.57,2,FVG,H1;H4,H1_FVG_BEAR_20250214_2000;H4_FVG_BEAR_20250214_2000,False,True,DOWN,ALIGNED,False,True,True,24.590000000000146,3.699999999999818
POIC0087,2025H1,BEAR,2025-02-17 05:00:00,2903.87,2914.28,1,FVG,H1,H1_FVG_BEAR_20250214_1800,False,False,DOWN,ALIGNED,False,True,True,20.80499999999984,-2.684999999999945
POIC0088,2025H1,BEAR,2025-02-17 09:00:00,2897.83,2898.42,1,FVG,H1,H1_FVG_BEAR_20250217_0800,False,False,DOWN,ALIGNED,True,False,False,6.105000000000018,17.47499999999991
POIC0089,2025H1,BEAR,2025-02-18 04:00:00,2898.33,2900.26,1,OB,H1,H1_OB_BEAR_20250218_0200_VIA_20250218_0300,False,False,UP,OPPOSING,True,False,True,4.025000000000091,40.26499999999987
POIC0090,2025H1,BEAR,2025-02-18 07:00:00,2914.28,2928.42,1,OB,H1,H1_OB_BEAR_20250214_1600_VIA_20250214_1700,False,False,UP,OPPOSING,False,False,True,14.250000000000457,18.20999999999958
POIC0091,2025H1,BEAR,2025-02-18 16:00:00,2928.42,2929.89,1,FVG,H4,H4_FVG_BEAR_20250214_1600,False,True,UP,OPPOSING,True,False,True,11.374999999999543,17.78500000000031
POIC0092,2025H1,BEAR,2025-02-18 21:00:00,2934.34,2939.94,1,OB,H1,H1_OB_BEAR_20250214_1200_VIA_20250214_1500,False,False,UP,OPPOSING,False,True,False,18.620000000000346,9.799999999999727
POIC0093,2025H1,BEAR,2025-02-19 15:00:00,2936.68,2942.65,1,FVG,H1,H1_FVG_BEAR_20250219_1400,False,False,UP,OPPOSING,False,True,False,21.144999999999985,15.184999999999944
POIC0094,2025H1,BEAR,2025-02-19 20:00:00,2922.99,2930.9,1,OB,H1,H1_OB_BEAR_20250219_1800_VIA_20250219_1900,False,False,BALANCE,BALANCE,True,False,,8.424999999999727,27.9050000000002
POIC0095,2025H1,BEAR,2025-02-19 21:00:00,2930.54,2946.58,1,OB,H4,H4_OB_BEAR_20250219_0800_VIA_20250219_1600,False,True,BALANCE,BALANCE,False,False,,15.230000000000018,16.289999999999964
POIC0096,2025H1,BEAR,2025-02-21 04:00:00,2937.82,2943.35,1,OB,H1,H1_OB_BEAR_20250221_0100_VIA_20250221_0300,False,False,BALANCE,BALANCE,False,True,,23.81500000000005,2.255000000000109
POIC0097,2025H1,BEAR,2025-02-21 11:00:00,2929.05,2933.03,1,OB,H1,H1_OB_BEAR_20250221_0900_VIA_20250221_1000,False,False,BALANCE,BALANCE,False,False,,9.480000000000018,11.800000000000182
POIC0098,2025H1,BEAR,2025-02-21 23:00:00,2937.21,2937.76,1,FVG,H1,H1_FVG_BEAR_20250221_2200,False,False,BALANCE,BALANCE,False,True,,5.425000000000182,0.2750000000000909
POIC0099,2025H1,BEAR,2025-02-24 04:00:00,2931.29,2933.27,1,FVG,H1,H1_FVG_BEAR_20250224_0300,False,False,BALANCE,BALANCE,True,False,,7.2199999999998,23.920000000000076
POIC0100,2025H1,BEAR,2025-02-24 18:00:00,2940.47,2946.32,1,FVG,H1,H1_FVG_BEAR_20250224_1700,False,False,UP,OPPOSING,True,True,False,42.9050000000002,10.224999999999907
POIC0101,2025H1,BEAR,2025-02-25 07:00:00,2939.8,2947.09,1,FVG,H1,H1_FVG_BEAR_20250225_0600,False,False,BALANCE,BALANCE,False,True,,55.245000000000346,1.3949999999999818
POIC0102,2025H1,BEAR,2025-02-25 10:00:00,2936.61,2940.94,1,OB,H1,H1_OB_BEAR_20250225_0700_VIA_20250225_0900,False,False,BALANCE,BALANCE,False,True,,50.57500000000027,6.065000000000055
POIC0103,2025H1,BEAR,2025-02-25 15:00:00,2937.09,2940.54,1,OB,H1,H1_OB_BEAR_20250225_1300_VIA_20250225_1400,False,False,BALANCE,BALANCE,False,True,,50.61500000000024,6.025000000000091
POIC0104,2025H1,BEAR,2025-02-25 16:00:00,2942.32,2945.21,1,FVG,H4,H4_FVG_BEAR_20250225_0800,False,True,DOWN,ALIGNED,False,True,True,55.56500000000051,1.074999999999818
POIC0105,2025H1,BEAR,2025-02-25 19:00:00,2906.81,2931.91,1,FVG,H1,H1_FVG_BEAR_20250225_1800,False,False,DOWN,ALIGNED,False,True,True,28.549999999999727,10.790000000000418
POIC0106,2025H1,BEAR,2025-02-26 01:00:00,2917.29,2924.04,1,FVG,H4,H4_FVG_BEAR_20250225_2000,False,True,DOWN,ALIGNED,False,True,True,29.855000000000015,9.485000000000127
POIC0107,2025H1,BEAR,2025-02-26 03:00:00,2926.12,2942.32,2,OB,H1;H4,H1_OB_BEAR_20250225_1500_VIA_20250225_1700;H4_OB_BEAR_20250225_0800_VIA_20250225_1600,False,True,DOWN,ALIGNED,False,True,True,43.41000000000031,-4.070000000000164
POIC0108,2025H1,BEAR,2025-02-26 17:00:00,2906.17,2915.48,2,FVG;OB,H1,H1_FVG_BEAR_20250226_1600;H1_OB_BEAR_20250226_1400_VIA_20250226_1600,True,False,DOWN,ALIGNED,False,True,True,43.11499999999978,9.914999999999964
POIC0109,2025H1,BEAR,2025-02-27 11:00:00,2890.61,2898.37,1,OB,H1,H1_OB_BEAR_20250227_0800_VIA_20250227_1000,False,False,DOWN,ALIGNED,False,True,True,43.42999999999984,0.4800000000000182
POIC0110,2025H1,BEAR,2025-02-27 17:00:00,2881.09,2892.04,1,OB,H1,H1_OB_BEAR_20250227_1500_VIA_20250227_1600,False,False,DOWN,ALIGNED,False,True,True,53.16499999999997,1.1050000000000182
