h1_cycle_id,block,h4_side,start,resolution,hours,path,outcome,h1_bars_to_resolution,month
2025H1-H1C118,2025H1,UP,2025-06-04 04:00:00,2025-06-04 05:00:00,1.0,COUNTERFLOW,H1_REALIGN,1,2025-06
2025H1-H1C119,2025H1,UP,2025-06-04 08:00:00,2025-06-04 12:00:00,4.0,LOCAL_BALANCE -> COUNTERFLOW,H1_REALIGN,4,2025-06
2025H1-H1C120,2025H1,UP,2025-06-04 14:00:00,2025-06-04 16:00:00,2.0,LOCAL_BALANCE -> COUNTERFLOW,H1_REALIGN,2,2025-06
2025H1-H1C121,2025H1,UP,2025-06-04 17:00:00,2025-06-04 18:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-06
2025H1-H1C122,2025H1,UP,2025-06-05 08:00:00,2025-06-05 12:00:00,4.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,4,2025-06
2025H1-H1C123,2025H1,UP,2025-06-05 18:00:00,2025-06-06 07:00:00,13.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,5,2025-06
2025H1-H1C124,2025H1,UP,2025-06-06 10:00:00,2025-06-06 12:00:00,2.0,LOCAL_BALANCE -> COUNTERFLOW,H1_REALIGN,2,2025-06
2025H1-H1C125,2025H1,UP,2025-06-06 13:00:00,2025-06-06 20:00:00,7.0,,H4_SIDE_CHANGED,3,2025-06
2025H1-H1C126,2025H1,DOWN,2025-06-09 10:00:00,2025-06-09 12:00:00,2.0,LOCAL_BALANCE,H1_REALIGN,2,2025-06
2025H1-H1C127,2025H1,DOWN,2025-06-09 19:00:00,2025-06-10 04:00:00,9.0,COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,8,2025-06
2025H1-H1C128,2025H1,DOWN,2025-06-10 10:00:00,2025-06-10 20:00:00,10.0,LOCAL_BALANCE -> COUNTERFLOW,H1_REALIGN,6,2025-06
2025H1-H1C129,2025H1,DOWN,2025-06-10 23:00:00,2025-06-11 00:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-06
2025H1-H1C130,2025H1,DOWN,2025-06-11 03:00:00,2025-06-11 12:00:00,9.0,LOCAL_BALANCE,H4_SIDE_CHANGED,5,2025-06
2025H1-H1C131,2025H1,UP,2025-06-11 13:00:00,2025-06-11 18:00:00,5.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE -> COUNTERFLOW,H1_REALIGN,5,2025-06
2025H1-H1C132,2025H1,UP,2025-06-11 19:00:00,2025-06-12 00:00:00,5.0,COUNTERFLOW,H1_REALIGN,1,2025-06
2025H1-H1C133,2025H1,UP,2025-06-12 11:00:00,2025-06-12 12:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-06
2025H1-H1C134,2025H1,UP,2025-06-12 13:00:00,2025-06-12 14:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-06
2025H1-H1C135,2025H1,UP,2025-06-16 08:00:00,2025-06-18 08:00:00,48.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE -> COUNTERFLOW -> COUNTERFLOW,H1_REALIGN,20,2025-06
2025H1-H1C136,2025H1,UP,2025-06-18 09:00:00,2025-06-18 12:00:00,3.0,LOCAL_BALANCE,H4_SIDE_CHANGED,3,2025-06
2025H1-H1C137,2025H1,DOWN,2025-06-18 16:00:00,2025-06-18 22:00:00,6.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,6,2025-06
2025H1-H1C138,2025H1,DOWN,2025-06-19 14:00:00,2025-06-19 15:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-06
2025H1-H1C139,2025H1,DOWN,2025-06-20 17:00:00,2025-06-23 05:00:00,60.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,11,2025-06
2025H1-H1C140,2025H1,DOWN,2025-06-23 13:00:00,2025-06-23 20:00:00,7.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H4_SIDE_CHANGED,7,2025-06
2025H1-H1C141,2025H1,DOWN,2025-06-25 04:00:00,2025-06-25 13:00:00,9.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,9,2025-06
2025H1-H1C142,2025H1,DOWN,2025-06-25 19:00:00,2025-06-26 16:00:00,21.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE -> COUNTERFLOW,H1_REALIGN,16,2025-06
2025H1-H1C143,2025H1,DOWN,2025-06-26 20:00:00,2025-06-27 00:00:00,4.0,LOCAL_BALANCE,H1_REALIGN,4,2025-06
2025H1-H1C144,2025H1,DOWN,2025-06-30 06:00:00,2025-06-30 07:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-06
