event_id,block,direction,required_consecutive_H1_closes_beyond,confirmation_time,hours_from_arrival_to_confirmation,post_confirmation_6h_directional_dominance,post_confirmation_12h_directional_dominance
2025H1_SELL_SIDE_20250520_0500,2025H1,DOWN,1,2025-05-20 06:00:00,1.0,False,False
2025H1_BUY_SIDE_20250520_1100,2025H1,UP,1,2025-05-20 13:00:00,2.0,True,True
2025H1_BUY_SIDE_20250520_1100,2025H1,UP,2,2025-05-20 16:00:00,5.0,True,True
2025H1_BUY_SIDE_20250520_1100,2025H1,UP,3,2025-05-20 17:00:00,6.0,True,True
2025H1_SELL_SIDE_20250522_1300,2025H1,DOWN,1,2025-05-22 14:00:00,1.0,False,False
2025H1_BUY_SIDE_20250523_0300,2025H1,UP,1,2025-05-23 05:00:00,2.0,True,True
2025H1_BUY_SIDE_20250523_0300,2025H1,UP,2,2025-05-23 09:00:00,6.0,True,True
2025H1_BUY_SIDE_20250523_0700,2025H1,UP,1,2025-05-23 09:00:00,2.0,True,True
2025H1_BUY_SIDE_20250523_0700,2025H1,UP,2,2025-05-23 10:00:00,3.0,True,True
2025H1_BUY_SIDE_20250523_0700,2025H1,UP,3,2025-05-23 11:00:00,4.0,True,True
2025H1_BUY_SIDE_20250523_1400,2025H1,UP,1,2025-05-23 15:00:00,1.0,True,True
2025H1_BUY_SIDE_20250523_1400,2025H1,UP,2,2025-05-23 16:00:00,2.0,False,False
2025H1_BUY_SIDE_20250523_1400,2025H1,UP,3,2025-05-23 20:00:00,6.0,True,True
2025H1_BUY_SIDE_20250527_0100,2025H1,UP,1,2025-05-27 02:00:00,1.0,False,False
2025H1_BUY_SIDE_20250527_0100,2025H1,UP,2,2025-05-27 03:00:00,2.0,False,False
2025H1_BUY_SIDE_20250527_0100,2025H1,UP,3,2025-05-27 04:00:00,3.0,False,False
2025H1_SELL_SIDE_20250528_1900,2025H1,DOWN,1,2025-05-29 00:00:00,5.0,True,True
2025H1_SELL_SIDE_20250528_2300,2025H1,DOWN,1,2025-05-29 03:00:00,4.0,False,False
2025H1_SELL_SIDE_20250528_2300,2025H1,DOWN,2,2025-05-29 04:00:00,5.0,True,False
