family,feature,year,auc,ap,sign,n
JOURNEY,child_route_progress_S,2024,0.5025148034529501,0.6186812254356336,1.0,345
JOURNEY,child_route_progress_S,2025,0.5301539491298527,0.6204567352946825,1.0,346
JOURNEY,child_route_progress_S,2026,0.5597278225806452,0.6554204292659089,1.0,221
JOURNEY,child_route_progress_S,AVG,0.530798858387816,,,912
JOURNEY,child_accepted_progress_S,2024,0.47950702718127985,0.6107902142683377,1.0,345
JOURNEY,child_accepted_progress_S,2025,0.538821954484605,0.6283427121820895,1.0,346
JOURNEY,child_accepted_progress_S,2026,0.5597278225806452,0.6554204292659089,1.0,221
JOURNEY,child_accepted_progress_S,AVG,0.5260189347488434,,,912
JOURNEY,child_current_sl_atr180,2024,0.4686095455518299,0.602247499629805,-1.0,345
JOURNEY,child_current_sl_atr180,2025,0.4966867469879518,0.5443462265136352,1.0,346
JOURNEY,child_current_sl_atr180,2026,0.5719926075268817,0.6379552097675868,1.0,221
JOURNEY,child_current_sl_atr180,AVG,0.5124296333555545,,,912
JOURNEY,child_h4_replenish_net_since_first,2024,0.5046550617107798,0.6298650333431465,-1.0,345
JOURNEY,child_h4_replenish_net_since_first,2025,0.4780789825970549,0.5546435782358542,-1.0,346
JOURNEY,child_h4_replenish_net_since_first,2026,0.5583837365591398,0.6568858946794032,-1.0,221
JOURNEY,child_h4_replenish_net_since_first,AVG,0.5137059269556582,,,912
JOURNEY,child_h4_active_routeborn_balance,2024,0.44681458229293003,0.5962337790037404,-1.0,345
JOURNEY,child_h4_active_routeborn_balance,2025,0.582412985274431,0.6011026447825804,-1.0,346
JOURNEY,child_h4_active_routeborn_balance,2026,0.5320480510752689,0.617455209949565,-1.0,221
JOURNEY,child_h4_active_routeborn_balance,AVG,0.52042520621421,,,912
JOURNEY,child_relmedian_h4liq_same_d1_S,2024,0.5070271812798745,0.5984243780398155,1.0,345
JOURNEY,child_relmedian_h4liq_same_d1_S,2025,0.4211847389558233,0.4946365232758123,1.0,346
JOURNEY,child_relmedian_h4liq_same_d1_S,2026,0.4274193548387097,0.5491524838075944,1.0,221
JOURNEY,child_relmedian_h4liq_same_d1_S,AVG,0.45187709169146917,,,912
JOURNEY,child_sl_progress_from_first_S,2024,0.4677177712777341,0.6064796993373318,1.0,345
JOURNEY,child_sl_progress_from_first_S,2025,0.5629518072289156,0.6479273774202464,1.0,346
JOURNEY,child_sl_progress_from_first_S,2026,0.5452788978494624,0.6287098387655679,1.0,221
JOURNEY,child_sl_progress_from_first_S,AVG,0.5253161587853707,,,912
H4_IND,adx14,2024,0.3250338874224157,0.523845460068272,1.0,345
H4_IND,adx14,2025,0.4982931726907631,0.582762274975414,-1.0,346
H4_IND,adx14,2026,0.48286290322580644,0.6002117028727483,-1.0,221
H4_IND,adx14,AVG,0.4353966544463284,,,912
H4_IND,rsi_primary,2024,0.5961332667475208,0.6611883097610842,-1.0,345
H4_IND,rsi_primary,2025,0.6130522088353414,0.667520937556957,-1.0,346
H4_IND,rsi_primary,2026,0.6021505376344086,0.6854560667725371,-1.0,221
H4_IND,rsi_primary,AVG,0.6037786710724236,,,912
H4_IND,di_diff_primary,2024,0.5975244346151103,0.6673794377768929,-1.0,345
H4_IND,di_diff_primary,2025,0.5626840696117805,0.5807304681957706,-1.0,346
H4_IND,di_diff_primary,2026,0.5486391129032258,0.6405475564569155,-1.0,221
H4_IND,di_diff_primary,AVG,0.5696158723767055,,,912
H4_IND,macd_hist_primary_S,2024,0.5805450524363273,0.6665557855985221,-1.0,345
H4_IND,macd_hist_primary_S,2025,0.606392235609103,0.649160637907789,-1.0,346
H4_IND,macd_hist_primary_S,2026,0.7025369623655915,0.7734261477081328,-1.0,221
H4_IND,macd_hist_primary_S,AVG,0.6298247501370072,,,912
H4_IND,macd_hist_chg_primary_S,2024,0.546907326817436,0.6387134790413203,-1.0,345
H4_IND,macd_hist_chg_primary_S,2025,0.507463186077644,0.552386577493184,-1.0,346
H4_IND,macd_hist_chg_primary_S,2026,0.4978998655913978,0.5791492945052068,-1.0,221
H4_IND,macd_hist_chg_primary_S,AVG,0.5174234594954926,,,912
H4_IND,bb_z_primary,2024,0.6131839908682314,0.7059665856908626,-1.0,345
H4_IND,bb_z_primary,2025,0.6456827309236948,0.6710582368219826,-1.0,346
H4_IND,bb_z_primary,2026,0.6653225806451611,0.743340424358642,-1.0,221
H4_IND,bb_z_primary,AVG,0.6413964341456957,,,912
H4_IND,bb_bw,2024,0.5191553114075765,0.6249800931631813,-1.0,345
H4_IND,bb_bw,2025,0.6013052208835341,0.615590411737718,-1.0,346
H4_IND,bb_bw,2026,0.5961861559139785,0.6857751222552527,-1.0,221
H4_IND,bb_bw,AVG,0.5722155627350297,,,912
H4_IND,donchian_primary,2024,0.580402368552472,0.6919643755256526,-1.0,345
H4_IND,donchian_primary,2025,0.7117135207496653,0.7137754012068432,-1.0,346
H4_IND,donchian_primary,2026,0.6545698924731181,0.7027934143252401,-1.0,221
H4_IND,donchian_primary,AVG,0.6488952605917517,,,912
H4_IND,ema20_dist_primary_S,2024,0.5967040022829421,0.6818912555633027,-1.0,345
H4_IND,ema20_dist_primary_S,2025,0.634136546184739,0.680137081761503,-1.0,346
H4_IND,ema20_dist_primary_S,2026,0.6486055107526881,0.7270390820884294,-1.0,221
H4_IND,ema20_dist_primary_S,AVG,0.6264820197401231,,,912
H4_IND,ema50_dist_primary_S,2024,0.5460512235143041,0.6176389723636944,-1.0,345
H4_IND,ema50_dist_primary_S,2025,0.5102744310575635,0.582370414524457,-1.0,346
H4_IND,ema50_dist_primary_S,2026,0.5037802419354838,0.5951949776179699,-1.0,221
H4_IND,ema50_dist_primary_S,AVG,0.5200352988357838,,,912
H4_IND,ema20_slope_primary_S,2024,0.5967040022829421,0.6818912555633027,-1.0,345
H4_IND,ema20_slope_primary_S,2025,0.634136546184739,0.680137081761503,-1.0,346
H4_IND,ema20_slope_primary_S,2026,0.6486055107526881,0.7270390820884294,-1.0,221
H4_IND,ema20_slope_primary_S,AVG,0.6264820197401231,,,912
H4_IND,ema20_slope3_primary_S,2024,0.5797602910751231,0.6697647283257492,-1.0,345
H4_IND,ema20_slope3_primary_S,2025,0.5896251673360108,0.6398058776916022,-1.0,346
H4_IND,ema20_slope3_primary_S,2026,0.6206317204301076,0.7066865561619273,-1.0,221
H4_IND,ema20_slope3_primary_S,AVG,0.5966723929470805,,,912
H4_IND,tenkan_kijun_primary_S,2024,0.5312834415352786,0.6275909548492515,1.0,345
H4_IND,tenkan_kijun_primary_S,2025,0.4182061579651941,0.47939667230759053,1.0,346
H4_IND,tenkan_kijun_primary_S,2026,0.5309139784946237,0.5977980922182412,-1.0,221
H4_IND,tenkan_kijun_primary_S,AVG,0.49346785933169884,,,912
H4_IND,price_kijun_primary_S,2024,0.5361346935863593,0.6484795945453288,-1.0,345
H4_IND,price_kijun_primary_S,2025,0.6657295850066934,0.6963108202807716,-1.0,346
H4_IND,price_kijun_primary_S,2026,0.6218077956989246,0.6979643689103269,-1.0,221
