signal_id,direction,units,entry_time,entry_price,structural_sl,exit_time,exit_price,actual_pnl,intended_risk_price,intended_risk_dollars,actual_r,adverse_slippage_price,adverse_slippage_r,excess_loss_beyond_1r,exit_comment
777,LONG,3,2026.03.06 20:00:00,5140.82,5062.77,2026.03.09 01:42:37,5062.74,-234.24,78.04999999999927,234.14999999999782,-1.0003843689942438,0.030000000000654836,0.0003843689942428586,0.0003843689942437667,sl 5062.77
780,LONG,3,2026.03.09 12:00:00,5105.47,5081.02,2026.03.09 13:20:27,5080.77,-74.1,24.449999999999818,73.34999999999945,-1.010224948875263,0.25,0.0102249488752557,0.01022494887526304,sl 5081.02
781,SHORT,1,2026.03.09 16:00:00,5073.33,5132.58,2026.03.09 21:19:45,5133.23,-59.9,59.25,59.25,-1.010970464135021,0.6499999999996362,0.010970464135014957,0.010970464135021007,sl 5132.58
795,LONG,3,2026.03.13 16:00:00,5098.44,5061.41,2026.03.13 16:52:52,5060.96,-112.44,37.029999999999745,111.08999999999924,-1.0121523089387052,0.4499999999998181,0.012152308938693525,0.012152308938705225,sl 5061.41
807,LONG,1,2026.03.23 20:00:00,4427.04,4351.15,2026.03.24 02:39:19,4350.63,-76.41,75.89000000000033,75.89000000000033,-1.0068520226643782,0.5199999999995271,0.006852022664376398,0.006852022664378232,sl 4351.15
811,SHORT,3,2026.03.24 20:00:00,4388.52,4433.63,2026.03.24 22:23:43,4433.69,-135.51,45.10999999999967,135.32999999999902,-1.001330082021732,0.05999999999949068,0.0013300820217133922,0.0013300820217319043,sl 4433.63
819,SHORT,1,2026.03.27 16:00:00,4430.83,4475.34,2026.03.27 16:47:42,4475.36,-44.53,44.51000000000022,44.51000000000022,-1.0004493372275844,0.019999999999527063,0.00044933722757867814,0.0004493372275844454,sl 4475.34
840,SHORT,3,2026.04.07 16:00:00,4651.71,4694.51,2026.04.07 22:20:14,4694.76,-129.15,42.80000000000018,128.40000000000055,-1.005841121495323,0.25,0.005841121495327078,0.0058411214953228985,sl 4694.51
841,SHORT,1,2026.04.07 20:00:00,4657.14,4694.51,2026.04.07 22:20:14,4694.76,-37.62,37.36999999999989,37.36999999999989,-1.0066898581750097,0.25,0.0066898581750067096,0.006689858175009666,sl 4694.51
844,LONG,1,2026.04.08 08:00:00,4803.88,4787.99,2026.04.08 12:43:17,4786.98,-16.9,15.890000000000327,15.890000000000327,-1.0635619886720988,1.0100000000002183,0.06356198867213325,0.06356198867209883,sl 4787.99
851,SHORT,1,2026.04.10 08:00:00,4758.59,4777.02,2026.04.10 15:30:20,4777.08,-18.49,18.43000000000029,18.43000000000029,-1.0032555615843575,0.05999999999949068,0.0032555615843456176,0.0032555615843574692,sl 4777.02
852,LONG,3,2026.04.10 16:00:00,4771.84,4730.58,2026.04.13 01:02:00,4665.3,-319.62,41.26000000000022,123.78000000000065,-2.5821619001454055,65.27999999999975,1.5821619001454048,1.5821619001454055,sl 4730.58
853,LONG,1,2026.04.10 20:00:00,4764.29,4730.58,2026.04.13 01:02:00,4665.3,-98.99,33.710000000000036,33.710000000000036,-2.9365173539009164,65.27999999999975,1.93651735390091,1.9365173539009164,sl 4730.58
856,LONG,1,2026.04.13 12:00:00,4723.58,4708.61,2026.04.13 13:27:42,4708.57,-15.01,14.970000000000255,14.970000000000255,-1.0026720106880256,0.03999999999996362,0.0026720106880402765,0.0026720106880255834,sl 4708.61
857,SHORT,1,2026.04.13 16:00:00,4724.01,4739.98,2026.04.13 16:49:53,4739.98,-15.97,15.969999999999345,15.969999999999345,-1.000000000000041,0.0,0.0,4.107825191113079e-14,sl 4739.98
861,SHORT,3,2026.04.14 16:00:00,4771.29,4796.28,2026.04.14 16:37:41,4796.32,-75.09,24.98999999999978,74.96999999999935,-1.0016006402561113,0.03999999999996362,0.001600640256100999,0.0016006402561112854,sl 4796.28
862,SHORT,1,2026.04.15 12:00:00,4818.41,4830.29,2026.04.15 16:57:54,4830.41,-12.0,11.88000000000011,11.88000000000011,-1.0101010101010008,0.11999999999989086,0.010101010101000821,0.01010101010100084,sl 4830.29
867,LONG,3,2026.04.17 08:00:00,4803.25,4767.66,2026.04.20 02:35:35,4767.66,-106.77,35.590000000000146,106.77000000000044,-0.9999999999999959,0.0,0.0,0.0,sl 4767.66
868,LONG,1,2026.04.17 12:00:00,4796.1,4767.66,2026.04.20 02:35:35,4767.66,-28.44,28.44000000000051,28.44000000000051,-0.9999999999999821,0.0,0.0,0.0,sl 4767.66
869,LONG,1,2026.04.17 16:00:00,4847.22,4778.62,2026.04.20 01:02:00,4778.54,-68.68,68.60000000000036,68.60000000000036,-1.0011661807580123,0.07999999999992724,0.0011661807580164258,0.0011661807580123362,sl 4778.62
870,LONG,1,2026.04.17 20:00:00,4867.21,4778.62,2026.04.20 01:02:00,4778.54,-88.67,88.59000000000015,88.59000000000015,-1.0009030364600955,0.07999999999992724,0.0009030364600962536,0.0009030364600954854,sl 4778.62
875,LONG,1,2026.04.20 20:00:00,4806.04,4792.65,2026.04.21 06:42:20,4792.65,-13.39,13.390000000000327,13.390000000000327,-0.9999999999999756,0.0,0.0,0.0,sl 4792.65
