test_year,run_id,bounded_pnl,all1_pnl,oracle_bars,selected_units,delta
2025,1602,-70.48999999999978,-45.129999999999654,1,4.0,-25.360000000000127
2025,1603,-25.049999999999727,-7.369999999999891,0,3.0,-17.679999999999836
2025,1604,-18.479999999999563,-6.1599999999998545,0,3.0,-12.319999999999709
2025,1605,89.7199999999998,37.859999999997854,3,2.0,51.860000000001946
2025,1606,82.01999999999907,27.33999999999969,1,6.0,54.67999999999938
2025,1607,-3.5100000000002183,-89.10000000000036,1,3.0,85.59000000000015
2025,1608,-11.400000000000546,1.069999999999709,1,6.0,-12.470000000000255
2025,1609,-5.2800000000002,-38.16000000000031,1,1.0,32.88000000000011
2025,1610,401.8499999999999,150.27000000000044,2,7.0,251.57999999999947
2025,1611,-30.899999999999636,-30.899999999999636,0,2.0,0.0
2025,1612,0.0,-47.31999999999971,1,0.0,47.31999999999971
2025,1613,30.419999999999618,2.7099999999995816,1,3.0,27.710000000000036
2025,1614,207.83999999999924,29.159999999999854,2,8.0,178.67999999999938
2025,1615,-0.21000000000003638,-8.16000000000031,1,1.0,7.950000000000273
2025,1616,-61.44999999999936,-38.78999999999951,1,5.0,-22.659999999999854
2025,1617,25.5300000000002,10.200000000000273,1,2.0,15.329999999999927
2025,1618,-53.759999999998854,-17.919999999999618,0,6.0,-35.839999999999236
2025,1619,-19.359999999999673,-19.359999999999673,0,1.0,0.0
2025,1620,-111.36999999999944,-51.00999999999976,0,4.0,-60.35999999999967
2025,1621,11.570000000000164,-12.9099999999994,1,1.0,24.479999999999563
2025,1622,79.83000000000175,10.270000000000891,1,6.0,69.56000000000085
2025,1623,-12.0399999999986,-54.99999999999909,2,4.0,42.96000000000049
2025,1624,233.50000000000182,74.11000000000104,2,7.0,159.39000000000078
2025,1625,12.230000000000018,33.67999999999938,1,1.0,-21.449999999999363
2025,1626,30.639999999999418,-19.13000000000102,2,5.0,49.77000000000044
2025,1627,-46.77000000000044,-24.450000000000273,0,3.0,-22.320000000000164
2025,1628,-66.21000000000049,-22.070000000000164,0,3.0,-44.14000000000033
2025,1629,-5.5300000000002,-11.920000000000528,0,1.0,6.390000000000327
2025,1630,-84.8100000000004,-36.470000000000255,1,7.0,-48.340000000000146
2025,1631,35.9399999999996,2.069999999999709,1,2.0,33.86999999999989
2025,1632,-39.60999999999967,-42.779999999999745,1,5.0,3.1700000000000728
2025,1633,-35.069999999999254,-35.069999999999254,0,2.0,0.0
2025,1634,-40.92999999999938,-24.409999999999854,0,4.0,-16.519999999999527
2025,1635,-34.04999999999973,-21.509999999999764,0,3.0,-12.539999999999964
2025,1636,-54.460000000000946,-33.0300000000002,1,7.0,-21.430000000000746
2025,1637,-27.26000000000022,-27.26000000000022,0,1.0,0.0
2025,1638,-43.409999999998035,-23.669999999999163,1,7.0,-19.739999999998872
2025,1639,-20.980000000000018,-20.980000000000018,0,1.0,0.0
2025,1640,39.039999999999964,103.67000000000144,3,1.0,-64.63000000000147
2025,1641,36.99000000000024,74.53000000000111,3,1.0,-37.54000000000087
2025,1642,-35.249999999998636,-21.189999999999145,1,5.0,-14.05999999999949
2025,1643,-22.919999999999618,-12.179999999999836,0,3.0,-10.739999999999782
2025,1644,-51.98999999999978,-17.329999999999927,0,3.0,-34.659999999999854
2025,1645,-4.75,-0.01999999999998181,0,1.0,-4.730000000000018
2025,1646,-36.599999999999454,-12.199999999999818,0,3.0,-24.399999999999636
2025,1647,0.0,-3.5599999999994907,1,0.0,3.5599999999994907
2025,1648,-7.049999999999727,-2.349999999999909,0,3.0,-4.699999999999818
2025,1649,-20.940000000000055,-56.179999999999836,1,2.0,35.23999999999978
2025,1650,-68.54999999999927,-49.599999999999454,1,4.0,-18.949999999999818
2025,1651,-2.1399999999998727,-0.9299999999998363,0,1.0,-1.2100000000000364
2025,1652,-116.01999999999953,-60.59999999999991,1,4.0,-55.41999999999962
2025,1653,26.100000000000364,35.07000000000153,1,1.0,-8.970000000001164
2025,1654,-19.629999999999654,-19.629999999999654,1,4.0,0.0
2025,1655,-14.340000000000146,-14.340000000000146,0,1.0,0.0
2025,1656,-63.13999999999896,-59.47999999999911,1,5.0,-3.6599999999998545
2025,1657,-5.960000000000036,-2.700000000000273,0,1.0,-3.2599999999997635
2025,1658,-9.170000000000073,-9.170000000000073,0,1.0,0.0
2025,1659,64.78999999999996,79.80999999999949,1,2.0,-15.019999999999527
2025,1660,-54.36000000000104,-18.120000000000346,0,3.0,-36.24000000000069
2025,1661,0.0,-16.920000000000073,0,0.0,16.920000000000073
2025,1662,-18.299999999999272,-10.9399999999996,0,4.0,-7.359999999999673
2025,1663,-14.710000000000036,-14.710000000000036,0,1.0,0.0
2025,1664,40.55000000000018,90.34000000000151,2,1.0,-49.79000000000133
2025,1665,-8.849999999999909,-32.070000000000164,1,1.0,23.220000000000255
2025,1666,-24.099999999999454,-19.899999999999636,1,5.0,-4.199999999999818
2025,1667,-34.76999999999907,-17.17999999999938,0,3.0,-17.58999999999969
2025,1668,-43.440000000000055,-14.480000000000018,0,3.0,-28.960000000000036
2025,1669,-16.4699999999998,-38.82999999999993,1,1.0,22.360000000000127
2025,1670,-30.46000000000049,-16.200000000000273,0,4.0,-14.260000000000218
2025,1671,19.19999999999891,-28.7800000000002,2,3.0,47.97999999999911
2025,1672,-3.8200000000001637,-12.809999999999945,1,4.0,8.989999999999782
2025,1673,18.690000000000055,55.1800000000012,2,2.0,-36.490000000001146
2025,1674,65.81000000000085,-10.319999999999254,2,7.0,76.13000000000011
2025,1675,-9.299999999999727,-9.299999999999727,0,1.0,0.0
2025,1676,224.44999999999982,115.55999999999949,2,8.0,108.89000000000033
2025,1677,-43.04999999999973,-14.349999999999909,0,3.0,-28.699999999999818
2025,1678,0.0,-12.470000000000255,0,0.0,12.470000000000255
2025,1679,-10.269999999999982,-34.50999999999976,1,1.0,24.23999999999978
2025,1680,-46.69999999999936,-23.799999999999727,0,4.0,-22.899999999999636
2025,1681,1.3500000000003638,-14.4399999999996,1,2.0,15.789999999999964
2025,1682,-19.129999999998745,-11.449999999999363,0,4.0,-7.6799999999993815
2025,1683,-25.320000000000164,-8.440000000000055,0,3.0,-16.88000000000011
2025,1684,-8.519999999999982,-16.58999999999969,0,1.0,8.069999999999709
2025,1685,1.8100000000004002,-30.6599999999994,1,1.0,32.4699999999998
2025,1686,-13.679999999998472,-9.839999999999236,1,5.0,-3.839999999999236
2025,1687,-7.119999999999891,-7.119999999999891,0,1.0,0.0
2025,1688,-8.41000000000031,-12.510000000000673,1,2.0,4.100000000000364
2025,1689,-8.220000000000255,-13.94000000000051,0,1.0,5.720000000000255
2025,1690,181.16000000000167,47.0900000000006,2,10.0,134.07000000000107
2025,1691,0.0,-25.230000000000018,0,0.0,25.230000000000018
2025,1692,21.15000000000191,-6.789999999998599,1,6.0,27.94000000000051
2025,1693,232.19000000000096,219.49000000000115,3,5.0,12.699999999999818
2025,1694,-16.0699999999988,-10.269999999999527,0,4.0,-5.799999999999272
2025,1695,26.919999999999163,-9.4600000000014,2,2.0,36.380000000000564
2025,1696,-42.10000000000082,-19.2800000000002,0,4.0,-22.82000000000062
2025,1697,7.1599999999998545,-1.4600000000000364,1,2.0,8.61999999999989
2025,1698,37.48999999999842,10.619999999998981,2,7.0,26.869999999999436
2025,1699,-15.179999999999836,-5.059999999999945,0,3.0,-10.11999999999989
2025,1700,0.0,-9.149999999999636,0,0.0,9.149999999999636
2025,1701,44.789999999999964,-18.130000000000564,1,4.0,62.92000000000053
2025,1702,-55.14000000000169,-32.52000000000044,1,6.0,-22.620000000001255
2025,1703,-3.6299999999996544,-10.349999999999,1,2.0,6.719999999999345
2025,1704,246.57000000000153,91.94000000000142,1,6.0,154.6300000000001
2025,1705,0.38000000000010914,0.38000000000010914,0,1.0,0.0
2025,1706,0.0,3.0299999999992906,1,0.0,-3.0299999999992906
2025,1707,-50.04000000000087,-36.80000000000064,1,4.0,-13.240000000000236
2025,1708,-38.57000000000062,-24.370000000000346,1,4.0,-14.200000000000273
2025,1709,-17.43000000000029,-28.600000000000364,1,2.0,11.170000000000073
2025,1710,-10.7100000000014,-2.4700000000007094,0,4.0,-8.240000000000691
2025,1711,-7.760000000000218,-7.760000000000218,0,1.0,0.0
2025,1712,78.52000000000089,24.460000000000946,2,5.0,54.059999999999945
2025,1713,0.0,-0.25,0,0.0,0.25
2025,1714,-17.580000000000382,-5.860000000000127,0,3.0,-11.720000000000255
2025,1715,0.0,-6.190000000000055,0,0.0,6.190000000000055
2025,1716,-66.80999999999995,-33.88999999999987,0,4.0,-32.92000000000007
2025,1717,26.870000000000346,34.34000000000151,2,1.0,-7.470000000001164
2025,1718,-29.049999999999727,-15.349999999999909,0,4.0,-13.699999999999818
2025,1719,-10.88000000000011,-20.139999999999873,1,1.0,9.259999999999764
2025,1720,-20.520000000000437,-6.8400000000001455,0,3.0,-13.680000000000291
2025,1721,0.0,-10.190000000000055,0,0.0,10.190000000000055
2025,1722,3.7200000000007094,-4.129999999999654,1,6.0,7.850000000000364
2025,1723,-13.909999999999854,-13.909999999999854,0,1.0,0.0
2025,1724,-69.92000000000007,-30.38000000000011,0,4.0,-39.539999999999964
2025,1725,0.5199999999999818,-19.079999999999927,1,1.0,19.59999999999991
2025,1726,-7.8700000000008,-1.8500000000003638,0,4.0,-6.020000000000437
2025,1727,-5.670000000000073,-28.609999999999673,1,1.0,22.9399999999996
2025,1728,-42.850000000000364,-16.970000000000255,0,4.0,-25.88000000000011
2025,1729,3.4399999999996,-4.740000000000691,1,2.0,8.180000000000291
2025,1730,-38.820000000000164,-24.230000000000018,1,4.0,-14.590000000000146
2025,1731,-1.4099999999998545,-7.119999999999891,1,1.0,5.710000000000036
2025,1732,119.97000000000207,28.9300000000012,1,9.0,91.04000000000087
2025,1733,5.6599999999998545,2.449999999999818,1,4.0,3.2100000000000364
2025,1734,-3.1500000000005457,-1.050000000000182,0,3.0,-2.100000000000364
2025,1735,-9.240000000000236,-49.380000000000564,1,1.0,40.14000000000033
2025,1736,-20.449999999998454,-10.169999999999163,1,4.0,-10.27999999999929
2025,1737,-27.6899999999996,-27.6899999999996,1,3.0,0.0
2025,1738,0.0,-8.409999999999854,0,0.0,8.409999999999854
2025,1739,-31.979999999999563,-10.659999999999854,0,3.0,-21.31999999999971
