prior,market,year,state,oppN,fillN,h1,h3,h5,mfe24,mae24
s3,BTCUSD,2025,ALIGNED,8,8,0.375,0.25,0.125,0.4440821339750552,0.27672359349446074
s3,BTCUSD,2025,OPPOSED,35,34,0.4411764705882353,0.17647058823529413,0.058823529411764705,0.31322023150799605,0.4593483047403847
s3,BTCUSD,2025,NEUTRAL,24,21,0.5238095238095238,0.3333333333333333,0.19047619047619047,0.40703852227091647,0.33254644913513
s3,GOLD,2022,ALIGNED,15,14,0.5,0.2857142857142857,0.21428571428571427,0.32251819388814507,0.40038897917992244
s3,GOLD,2022,OPPOSED,25,23,0.4782608695652174,0.21739130434782608,0.13043478260869565,0.4040059095642973,0.3396752993427979
s3,GOLD,2022,NEUTRAL,11,9,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.4343359242987531,0.5279315729699043
s3,GOLD,2023,ALIGNED,8,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.3253972742181769,0.3517396509813975
s3,GOLD,2023,OPPOSED,24,22,0.5,0.22727272727272727,0.13636363636363635,0.3800707050340053,0.41188812562861044
s3,GOLD,2023,NEUTRAL,10,10,0.6,0.5,0.3,0.3739852150065499,0.3569907299245088
s3,GOLD,2024,ALIGNED,5,4,1.0,0.5,0.5,0.694642583500299,0.3155085957818203
s3,GOLD,2024,OPPOSED,24,22,0.4090909090909091,0.3181818181818182,0.22727272727272727,0.3320326136864886,0.3583105278371168
s3,GOLD,2024,NEUTRAL,14,13,0.6923076923076923,0.3076923076923077,0.23076923076923078,0.6028921023359369,0.2861880140497821
s3,GOLD,2025,ALIGNED,4,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7490134744946948,0.134576515880666
s3,GOLD,2025,OPPOSED,15,15,0.4666666666666667,0.2,0.2,0.4449048732343065,0.22654482994068234
s3,GOLD,2025,NEUTRAL,13,11,0.5454545454545454,0.36363636363636365,0.2727272727272727,0.2968511317872556,0.4018387423002569
s3,USDJPY,2023,ALIGNED,8,8,0.625,0.25,0.25,0.6440923753971826,0.34453831692582404
s3,USDJPY,2023,OPPOSED,18,16,0.25,0.0625,0.0625,0.13769844692704503,0.6109105547326399
s3,USDJPY,2023,NEUTRAL,13,13,0.6153846153846154,0.3076923076923077,0.3076923076923077,0.3578559165765749,0.30185036202735377
s3,USDJPY,2024,ALIGNED,13,12,0.5,0.25,0.08333333333333333,0.15943893761685313,0.7596549252273881
s3,USDJPY,2024,OPPOSED,19,16,0.5625,0.1875,0.125,0.4321741011593437,0.5282498501878743
s3,USDJPY,2024,NEUTRAL,5,5,0.6,0.4,0.0,0.8569722305165937,0.9823990075211144
s3,USDJPY,2025,ALIGNED,9,9,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.3258017492711173,0.3237159811745443
s3,USDJPY,2025,OPPOSED,26,26,0.46153846153846156,0.2692307692307692,0.07692307692307693,0.42870469233116415,0.47920023445644766
s3,USDJPY,2025,NEUTRAL,4,3,0.0,0.0,0.0,0.14780822796994092,0.3382966433476853
s3,XAUEUR,2023,ALIGNED,9,9,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.5142917637095105,0.17280813214739962
s3,XAUEUR,2023,OPPOSED,26,25,0.44,0.12,0.08,0.38313378448724067,0.41089451630534113
s3,XAUEUR,2023,NEUTRAL,10,10,0.5,0.1,0.1,0.2727733940797814,0.46138558518470757
s3,XAUEUR,2024,ALIGNED,8,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.30814845821125036,0.4346648044692663
