idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop,source,w
4914,2025,k3p,SHORT,0.7334665,1.4886157424034627,-0.3367005509645855,-1.0,-5.623434357081351,1623,6,2025-05-30 16:00:00,-0.7334665,neg_pstop,0
4915,2025,k3p,SHORT,0.72580147,1.2686294966227556,-0.3779451221370874,-1.0,-13.509999999999764,1623,6,2025-05-30 20:00:00,-0.72580147,neg_pstop,0
4916,2025,k1,LONG,0.36764863,0.3828948689646326,-0.125524525478291,2.273451327433642,51.38000000000011,1624,7,2025-06-02 04:00:00,-0.36764863,mu_nonstop,0
4917,2025,k2,LONG,0.3741044610393233,0.3476057380287732,-0.1565395802899805,2.5219383900183097,48.809999999999945,1624,7,2025-06-02 08:00:00,-0.3741044610393233,mu_nonstop,1
4918,2025,k3p,LONG,0.0645604068914045,0.2731380583468822,0.1909437472710748,0.2050212685762535,10.650000000000093,1624,7,2025-06-02 12:00:00,-0.0645604068914045,mu_nonstop,3
4919,2025,k3p,LONG,0.047459088629934,0.2763493889208357,0.2157750101492797,0.1439947902625463,7.180000000000291,1624,7,2025-06-02 16:00:00,-0.047459088629934,mu_nonstop,3
4920,2025,k3p,LONG,0.0535151592618178,0.2862292220287288,0.2173964603646572,-0.174212111253556,-8.9699999999998,1624,7,2025-06-02 20:00:00,-0.0535151592618178,mu_nonstop,3
4921,2025,k3p,LONG,0.0623969152140893,0.2657126816034725,0.1867361147240629,-0.4391546838559236,-20.090000000000146,1624,7,2025-06-03 00:00:00,-0.0623969152140893,mu_nonstop,3
4922,2025,k3p,LONG,0.1818091243476358,0.2602499872077105,0.0311250405743574,-0.5207953052113304,-13.11999999999989,1624,7,2025-06-03 04:00:00,-0.1818091243476358,mu_nonstop,3
4923,2025,k1,SHORT,0.110261805,0.0464471410222717,-0.0689360096099383,0.4227891156462671,12.430000000000293,1625,5,2025-06-03 08:00:00,-0.110261805,mu_nonstop,0
4924,2025,k2,SHORT,0.4114858465477779,0.1757428669829616,-0.3080586819600338,0.6484560570071246,10.920000000000073,1625,5,2025-06-03 12:00:00,-0.4114858465477779,EV,0
4925,2025,k3p,SHORT,0.67334205,1.2606781729227916,-0.261531500438096,0.8130599589604666,9.150000000000093,1625,5,2025-06-03 16:00:00,-0.67334205,neg_pstop,0
4926,2025,k3p,SHORT,0.28942022,0.3333782105154281,-0.0525284108179686,-0.1041264237891216,-1.7899999999999636,1625,5,2025-06-03 20:00:00,-0.28942022,neg_pstop,0
4927,2025,k3p,SHORT,0.6609499,0.8512223256728155,-0.3723428591546885,0.4480812641083744,3.970000000000255,1625,5,2025-06-04 00:00:00,-0.6609499,neg_pstop,0
4928,2025,k1,LONG,0.59841263,2.255165434299715,0.3072333160979836,-1.0,-2.899999999999636,1626,7,2025-06-04 04:00:00,-0.59841263,mu_nonstop,3
4929,2025,k2,LONG,0.7546539036156461,0.7589924449916112,-0.5684380700517379,-1.0,-4.980000000000018,1626,7,2025-06-04 08:00:00,-0.7546539036156461,mu_nonstop,3
4930,2025,k3p,LONG,0.5152479194195624,0.334130538543871,-0.3532774456749588,-1.0,-16.3100000000004,1626,7,2025-06-04 12:00:00,-0.5152479194195624,mu_nonstop,3
4931,2025,k3p,LONG,0.6276195382638304,0.3230615088935309,-0.5073177444128737,0.8817598533455563,9.61999999999989,1626,7,2025-06-04 16:00:00,-0.6276195382638304,mu_nonstop,3
4932,2025,k3p,LONG,0.1588253860387697,0.2998887031869702,0.0934333780958638,-0.2075713827398216,-6.470000000000255,1626,7,2025-06-04 20:00:00,-0.1588253860387697,mu_nonstop,3
