idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop
6639,2026,k3p,SHORT,0.6040696,0.619071119641752,-0.3589605087015928,-1.0,-7.698737013162827,2163,11,2026-07-29 08:00:00,-0.6040696
6652,2026,k3p,SHORT,0.22667821,-0.0174117697834174,-0.2401431087953452,-0.5030569821472298,-20.570000000000164,2169,5,2026-07-31 12:00:00,-0.22667821
6653,2026,k3p,SHORT,0.053182345,-0.0781250201737594,-0.1271524918353225,-0.7969632641854787,-40.68000000000029,2169,5,2026-07-31 16:00:00,-0.053182345
6654,2026,k3p,SHORT,0.32844612,-0.0756205738554354,-0.3792294075487086,-1.0,-37.93187900503608,2169,5,2026-07-31 20:00:00,-0.32844612
6677,2026,k3p,SHORT,0.31675315,0.2481025349229154,-0.1472378733294796,-0.5472132657761346,-23.75999999999931,2177,5,2026-08-06 20:00:00,-0.31675315
6678,2026,k3p,SHORT,0.2964142,0.0752480426599871,-0.243470741933853,-0.6994152046783498,-23.92000000000008,2177,5,2026-08-07 00:00:00,-0.2964142
6679,2026,k3p,SHORT,0.5826415,0.558475340895241,-0.3495570419348872,-1.0,-23.281202353527988,2177,5,2026-08-07 04:00:00,-0.5826415
6685,2026,k3p,SHORT,0.6978556,1.6305076047523797,-0.2052068364280648,-1.0,-11.579999999999927,2179,3,2026-08-10 08:00:00,-0.6978556
6705,2026,k3p,SHORT,0.6497409,1.1970830665610306,-0.230451607042763,4.31468110607396,53.1899999999996,2189,7,2026-08-13 16:00:00,-0.6497409
6706,2026,k3p,SHORT,0.47954863,0.66717941701848,-0.1323141935428567,0.5351180195739454,18.58999999999924,2189,7,2026-08-13 20:00:00,-0.47954863
6707,2026,k3p,SHORT,0.06910736,0.4434718777659026,0.3437173487209023,0.1145659432387264,5.489999999999782,2189,7,2026-08-14 00:00:00,-0.06910736
6708,2026,k3p,SHORT,0.18188101,0.0060799666000591,-0.1769068744015418,-0.1681832651064781,-7.820000000000618,2189,7,2026-08-14 04:00:00,-0.18188101
