phase,year,m5_index,direction,decision,accept_time,conf_time,preconf_same75,preconf_opp75,postconf_same75_H60,postconf_opp75_H60,postconf_same75_H120,postconf_opp75_H120,postconf_same75_H240,postconf_opp75_H240
0,2026,291179,1,2026-02-11 15:35:00,2026-02-11 15:56:00,2026-02-11 16:11:00,False,False,0.0,0.0,0,0,0,0
0,2026,292102,1,2026-02-17 03:05:00,2026-02-17 03:22:00,2026-02-17 03:37:00,False,False,0.0,0.0,0,0,0,0
0,2026,292265,-1,2026-02-17 16:40:00,2026-02-17 16:54:00,2026-02-17 17:09:00,False,False,0.0,0.0,0,0,0,0
0,2026,293482,-1,2026-02-24 03:05:00,2026-02-24 03:12:00,2026-02-24 03:27:00,True,False,1.0,0.0,1,0,1,0
0,2026,293997,1,2026-02-25 23:00:00,2026-02-25 23:17:00,2026-02-25 23:32:00,False,False,0.0,0.0,0,0,1,0
0,2026,294458,-1,2026-02-27 15:25:00,2026-02-27 15:36:00,2026-02-27 15:51:00,False,False,0.0,0.0,0,0,0,0
0,2026,294963,1,2026-03-03 11:30:00,2026-03-03 11:33:00,2026-03-03 11:48:00,False,False,1.0,0.0,1,1,1,1
0,2026,295018,-1,2026-03-03 16:05:00,2026-03-03 16:31:00,2026-03-03 16:46:00,True,False,1.0,0.0,1,0,1,0
0,2026,295562,1,2026-03-05 15:25:00,2026-03-05 15:33:00,2026-03-05 15:48:00,False,False,0.0,0.0,0,0,0,0
0,2026,295842,-1,2026-03-06 15:45:00,2026-03-06 15:54:00,2026-03-06 16:09:00,True,False,0.0,0.0,0,1,0,1
