H,phase,year,model,quarter,n,base,auc
240,0,2026,micro3_ext_inter,2026Q3,18,0.6666666666666666,0.5277777777777778
240,2,2025,ext_only,2025Q1,58,0.5172413793103449,0.4119047619047619
240,2,2025,ext_only,2025Q2,47,0.6382978723404256,0.5372549019607843
240,2,2025,ext_only,2025Q3,52,0.6346153846153846,0.4784688995215311
240,2,2025,ext_only,2025Q4,53,0.5283018867924528,0.6171428571428571
240,2,2025,micro3,2025Q1,58,0.5172413793103449,0.5880952380952381
240,2,2025,micro3,2025Q2,47,0.6382978723404256,0.396078431372549
240,2,2025,micro3,2025Q3,52,0.6346153846153846,0.6874003189792663
240,2,2025,micro3,2025Q4,53,0.5283018867924528,0.5514285714285714
240,2,2025,micro3_ext,2025Q1,58,0.5172413793103449,0.5023809523809524
240,2,2025,micro3_ext,2025Q2,47,0.6382978723404256,0.42549019607843136
240,2,2025,micro3_ext,2025Q3,52,0.6346153846153846,0.6092503987240829
240,2,2025,micro3_ext,2025Q4,53,0.5283018867924528,0.5742857142857143
240,2,2025,micro3_ext_inter,2025Q1,58,0.5172413793103449,0.5023809523809524
240,2,2025,micro3_ext_inter,2025Q2,47,0.6382978723404256,0.43137254901960786
240,2,2025,micro3_ext_inter,2025Q3,52,0.6346153846153846,0.6060606060606061
240,2,2025,micro3_ext_inter,2025Q4,53,0.5283018867924528,0.5857142857142857
240,2,2026,ext_only,2026Q1,71,0.6056338028169014,0.5506644518272426
240,2,2026,ext_only,2026Q2,44,0.4318181818181818,0.5178947368421053
240,2,2026,ext_only,2026Q3,17,0.6470588235294118,0.5151515151515151
240,2,2026,micro3,2026Q1,71,0.6056338028169014,0.6395348837209303
240,2,2026,micro3,2026Q2,44,0.4318181818181818,0.4336842105263158
240,2,2026,micro3,2026Q3,17,0.6470588235294118,0.696969696969697
240,2,2026,micro3_ext,2026Q1,71,0.6056338028169014,0.6287375415282392
240,2,2026,micro3_ext,2026Q2,44,0.4318181818181818,0.48
240,2,2026,micro3_ext,2026Q3,17,0.6470588235294118,0.6666666666666666
240,2,2026,micro3_ext_inter,2026Q1,71,0.6056338028169014,0.6370431893687708
240,2,2026,micro3_ext_inter,2026Q2,44,0.4318181818181818,0.44842105263157894
240,2,2026,micro3_ext_inter,2026Q3,17,0.6470588235294118,0.6363636363636364
