block,entry_ts,direction,entry,sl,sl_dist,atr180,sl_atr180,topology,d_same,d_opp,policy,status,exit_ts,exit_price,R,route_id,candidate_order,next_ts,next_ref,accepted_rank,role,hybrid_status,hybrid_exit_ts,hybrid_exit_price,hybrid_pnl,entry_spread_price,exit_spread_price,spread_cost,net_0x,net_1x,net_2x,net_3x
FULL_2022_202608,2025-08-26 18:55:00,UP,3386.47,3367.15,19.31999999999971,17.02784917002373,1.1346118823985791,SAME_NEAREST,18.330000000000386,35.17999999999984,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,12.098861283644077,297,2.0,2025-08-27 19:35:00,3394.22,2,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-27 19:35:00,3394.22,7.75,0.17,0.17,0.17,7.75,7.58,7.41,7.24
FULL_2022_202608,2025-08-27 19:35:00,UP,3394.22,3373.69,20.529999999999745,16.88989757992446,1.215519508206015,SAME_NEAREST,10.580000000000382,27.06999999999971,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,11.008280565026926,297,3.0,2025-08-28 14:30:00,3404.8,3,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-28 14:30:00,3404.8,10.580000000000382,0.17,0.17,0.17,10.580000000000382,10.410000000000382,10.240000000000382,10.070000000000382
FULL_2022_202608,2025-08-28 14:30:00,UP,3404.8,3387.64,17.16000000000031,16.748669795111137,1.024558977514097,SAME_NEAREST,3.759999999999764,31.110000000000127,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,12.553613053612803,297,4.0,2025-08-28 15:11:00,3408.56,4,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-28 15:11:00,3408.56,3.7599999999997635,0.17,0.18,0.17,3.7599999999997635,3.5899999999997636,3.4199999999997637,3.2499999999997637
FULL_2022_202608,2025-08-28 15:11:00,UP,3408.56,3387.64,20.920000000000076,16.748669795111137,1.2490544178085432,SAME_NEAREST,25.17999999999984,34.86999999999989,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,10.11759082217969,297,5.0,2025-08-29 16:38:00,3423.05,5,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-29 16:38:00,3423.05,14.490000000000236,0.18,0.17,0.18,14.490000000000236,14.310000000000237,14.130000000000237,13.950000000000237
FULL_2022_202608,2025-08-29 16:38:00,UP,3423.05,3394.11,28.94000000000005,16.54082254046992,1.7496106937362663,SAME_NEAREST,10.6899999999996,38.470000000000255,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,6.8130615065652815,297,6.0,2025-08-29 17:10:00,3433.74,6,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-29 17:10:00,3433.74,10.6899999999996,0.17,0.18,0.17,10.6899999999996,10.5199999999996,10.3499999999996,10.1799999999996
FULL_2022_202608,2025-08-29 17:10:00,UP,3433.74,3404.33,29.40999999999985,16.54082254046992,1.7780252419759242,SAME_NEAREST,5.230000000000018,49.159999999999854,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,6.340700442026553,297,7.0,2025-08-29 17:32:00,3438.97,7,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-29 17:32:00,3438.97,5.230000000000018,0.18,0.18,0.18,5.230000000000018,5.0500000000000185,4.870000000000018,4.690000000000018
FULL_2022_202608,2025-08-29 17:32:00,UP,3438.97,3404.33,34.63999999999987,16.54082254046992,2.094212661749272,SAME_NEAREST,12.480000000000018,54.38999999999987,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,5.232390300230966,297,8.0,2025-08-29 22:51:00,3451.45,8,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-29 22:51:00,3451.45,12.480000000000018,0.18,0.2,0.18,12.480000000000018,12.300000000000018,12.120000000000019,11.940000000000019
FULL_2022_202608,2025-08-29 22:51:00,UP,3451.45,3404.33,47.11999999999989,16.64770685968953,2.8304198528444444,SAME_NEAREST,48.53999999999997,66.86999999999989,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,3.581706281833624,297,9.0,2025-09-02 04:16:00,3489.78,9,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-09-02 04:16:00,3489.78,38.33000000000038,0.2,0.17,0.2,38.33000000000038,38.13000000000038,37.93000000000038,37.73000000000038
FULL_2022_202608,2025-09-02 17:44:00,UP,3508.61,3470.2,38.41000000000031,16.79574721255681,2.28688843157179,NO_SAME_TARGET,,71.80999999999995,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,2.905753709971329,297,12.0,2025-09-03 14:12:00,3546.83,12,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-09-03 14:12:00,3546.83,38.2199999999998,0.16,0.17,0.16,38.2199999999998,38.0599999999998,37.8999999999998,37.7399999999998
FULL_2022_202608,2025-09-05 06:54:00,UP,3558.72,3540.04,18.67999999999984,17.25745681365983,1.082430638633499,SAME_NEAREST,19.670000000000076,48.09999999999991,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,3.2922912205567743,297,14.0,2025-09-05 15:32:00,3578.39,14,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-09-05 15:32:00,3578.39,19.670000000000073,0.18,0.16,0.18,19.670000000000073,19.490000000000073,19.310000000000073,19.130000000000074
