variant,year,N,WR,avg_win_R,avg_loss_R,EV_R,PF,time_stop_rate,ambig_n,median_hold,family,sl_mult,rr
atrSL1.25_RR1.30,2026,603,0.5008291873963516,1.3000000000000005,-1.0,0.15190713101160883,1.304318936877077,0.0,0,13.0,atr,1.25,1.3000000000000003
atrSL1.25_RR1.40,2025,342,0.47953216374269003,1.3943575035551337,-1.0,0.14817143445333883,1.2846889358597857,0.0029239766081871343,0,16.0,atr,1.25,1.4000000000000004
atrSL1.25_RR1.40,2026,603,0.48756218905472637,1.4000000000000004,-1.0,0.17014925373134346,1.3320388349514565,0.0,0,14.0,atr,1.25,1.4000000000000004
atrSL1.25_RR1.50,2025,342,0.45321637426900585,1.4933847134389797,-0.9975456409239829,0.13138478283700897,1.24087780881948,0.008771929824561403,0,17.0,atr,1.25,1.5000000000000004
atrSL1.25_RR1.50,2026,603,0.4709784411276949,1.5000000000000002,-1.0,0.17744610281923728,1.3354231974921633,0.0,0,15.0,atr,1.25,1.5000000000000004
atrSL1.25_RR1.60,2025,342,0.43567251461988304,1.5924471851210869,-0.9976219422424083,0.1307999875153717,1.232332789550342,0.008771929824561403,0,19.0,atr,1.25,1.6000000000000005
atrSL1.25_RR1.60,2026,603,0.4577114427860697,1.5936619569504387,-1.0,0.18714875641512602,1.3451091746737647,0.006633499170812604,0,16.0,atr,1.25,1.6000000000000005
atrSL1.25_RR1.70,2025,342,0.41812865497076024,1.6914309830981953,-0.9976936424763055,0.1267064202639097,1.2182601483989863,0.008771929824561403,0,22.0,atr,1.25,1.7000000000000006
atrSL1.25_RR1.70,2026,603,0.439469320066335,1.6887095467512192,-1.0,0.18160535636662212,1.3239882541096837,0.008291873963515755,1,18.0,atr,1.25,1.7000000000000006
atrSL1.25_RR1.80,2025,342,0.4152046783625731,1.777633508095218,-0.997705174263924,0.15462843069221077,1.2650227976203061,0.014619883040935672,0,23.5,atr,1.25,1.8000000000000007
atrSL1.25_RR1.80,2026,603,0.4311774461028192,1.7865693457272043,-1.0,0.2015058538790599,1.3542508160031286,0.008291873963515755,1,19.0,atr,1.25,1.8000000000000007
