N,PnL,PF,WR,DD,P95,Max,Top10,routes,armed_routes,arm_rate,arm_before_last,ha_before_last,changed,year,method,q,threshold,delta
241,1028.7399999999986,1.769519620603502,0.6390041493775933,152.7700000000009,38.04000000000042,116.5,621.9799999999993,84,30,0.35714285714285715,20,16,43,2024,FULL_NO_RANK__TREE2,0.8,0.7114092605669342,-259.14999999999964
241,1028.7399999999986,1.769519620603502,0.6390041493775933,152.7700000000009,38.04000000000042,116.5,621.9799999999993,84,30,0.35714285714285715,20,16,43,2024,FULL_NO_RANK__TREE2,0.9,0.7114092605669342,-259.14999999999964
241,1028.7399999999986,1.769519620603502,0.6390041493775933,152.7700000000009,38.04000000000042,116.5,621.9799999999993,84,30,0.35714285714285715,20,16,43,2024,FULL_NO_RANK__TREE2,0.95,0.7114092605669342,-259.14999999999964
241,1023.7699999999966,1.9427066547574052,0.6348547717842323,124.89999999999964,36.970000000000255,84.16999999999985,523.4599999999996,84,75,0.8928571428571429,39,28,78,2024,FULL_NO_RANK__HGB,0.5,0.21595127770936262,-264.1200000000017
241,843.8299999999981,1.648063099041532,0.6265560165975104,152.7700000000009,36.690000000000055,84.16999999999985,514.9399999999998,84,47,0.5595238095238095,26,22,52,2024,FULL_NO_RANK__HGB,0.7,0.4323984570186623,-444.0600000000002
241,1225.8999999999976,1.896650087770624,0.6099585062240664,152.7700000000009,43.46000000000004,158.13999999999987,822.2299999999989,84,18,0.21428571428571427,10,8,17,2024,FULL_NO_RANK__HGB,0.8,0.6458551402527744,-61.99000000000069
241,1230.5099999999977,1.891267030268788,0.6182572614107884,152.7700000000009,42.92000000000007,158.13999999999987,854.6999999999991,84,5,0.05952380952380952,2,2,4,2024,FULL_NO_RANK__HGB,0.9,0.7707011823604545,-57.380000000000564
241,1291.8899999999983,1.9376673900578452,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,882.8899999999992,84,1,0.011904761904761904,0,0,1,2024,FULL_NO_RANK__HGB,0.95,0.8381799594354489,4.0
241,1065.119999999997,1.7939295457594744,0.6182572614107884,139.79999999999927,39.08999999999992,87.15000000000009,608.6899999999989,84,41,0.4880952380952381,18,15,37,2024,FULL_WITH_RANK__LOGIT,0.5,0.4570029681863107,-222.77000000000135
241,1095.949999999997,1.810529974706758,0.6224066390041494,139.79999999999927,39.08999999999992,92.48999999999978,661.6999999999996,84,27,0.32142857142857145,11,8,18,2024,FULL_WITH_RANK__LOGIT,0.7,0.5713034315765121,-191.9400000000012
241,1175.0699999999972,1.8620254557458795,0.6224066390041494,139.79999999999927,40.1899999999996,116.41999999999985,758.0499999999995,84,18,0.21428571428571427,7,5,12,2024,FULL_WITH_RANK__LOGIT,0.8,0.6441642456668619,-112.82000000000107
241,1154.7299999999977,1.837586316950035,0.6182572614107884,152.7700000000009,40.1899999999996,133.47000000000003,768.5799999999997,84,12,0.14285714285714285,4,2,6,2024,FULL_WITH_RANK__LOGIT,0.9,0.7394209012607292,-133.16000000000054
241,1310.6999999999985,1.948565969734469,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,882.8899999999992,84,3,0.03571428571428571,1,0,1,2024,FULL_WITH_RANK__LOGIT,0.95,0.8318854304378893,22.810000000000173
241,1961.1800000000057,2.1159871397274355,0.6680497925311203,228.24000000000024,55.0300000000002,165.3800000000001,1054.06,67,61,0.9104477611940298,36,34,76,2025,MECH_CUR_D1,0.5,1.227294949721284,-750.0299999999961
241,2369.4800000000046,2.398822841827493,0.6929460580912863,242.19000000000005,70.34000000000015,165.3800000000001,1101.2799999999984,67,53,0.7910447761194029,30,27,70,2025,MECH_CUR_D1,0.7,1.9309217661070721,-341.7299999999973
241,2382.990000000004,2.337623701242209,0.6846473029045643,298.6199999999999,78.39000000000033,165.3800000000001,1164.389999999999,67,39,0.582089552238806,24,22,52,2025,MECH_CUR_D1,0.8,2.66515572000559,-328.219999999998
241,2220.6200000000013,2.153377100949454,0.6887966804979253,319.3000000000002,70.34000000000015,182.12999999999965,1251.7599999999989,67,24,0.3582089552238806,14,14,32,2025,MECH_CUR_D1,0.9,4.186218270191726,-490.5900000000006
241,2197.1000000000017,2.1095287873508384,0.6846473029045643,319.3000000000002,73.88000000000011,171.3699999999999,1241.5399999999995,67,17,0.2537313432835821,9,9,22,2025,MECH_CUR_D1,0.95,7.926219310153844,-514.1100000000001
241,1971.4500000000053,2.0995811278870713,0.6639004149377593,228.24000000000024,55.09999999999991,165.3800000000001,1054.06,67,61,0.9104477611940298,35,33,75,2025,DYN_SMALL__LOGIT,0.5,0.4573828333433383,-739.7599999999966
241,2564.2000000000044,2.404502382647756,0.6639004149377593,251.2800000000002,91.70000000000027,256.5300000000002,1395.9300000000007,67,55,0.8208955223880597,29,27,65,2025,DYN_SMALL__LOGIT,0.7,0.5406408332001105,-147.0099999999975
241,2369.7100000000046,2.2696960929295567,0.6639004149377593,260.6400000000003,78.39000000000033,256.5300000000002,1291.8000000000002,67,43,0.6417910447761194,25,24,56,2025,DYN_SMALL__LOGIT,0.8,0.6094618271124669,-341.49999999999727
241,2481.6000000000013,2.3372707089431612,0.6846473029045643,311.55000000000064,80.64999999999964,182.12999999999965,1310.44,67,21,0.31343283582089554,12,10,24,2025,DYN_SMALL__LOGIT,0.9,0.6891910385570481,-229.61000000000058
241,2818.270000000002,2.4639907327563844,0.6804979253112033,319.3000000000002,92.2199999999998,241.4699999999998,1465.4200000000005,67,10,0.14925373134328357,4,1,12,2025,DYN_SMALL__LOGIT,0.95,0.7735002837659197,107.05999999999995
241,2117.860000000004,2.223418635549655,0.6721991701244814,228.24000000000024,56.23000000000002,165.3800000000001,1109.8399999999997,67,61,0.9104477611940298,36,33,78,2025,DYN_SMALL__HGB,0.5,0.3193260847768919,-593.3499999999976
241,2088.900000000003,2.106666807942532,0.6680497925311203,233.20000000000027,56.23000000000002,165.3800000000001,1166.9999999999977,67,52,0.7761194029850746,32,28,68,2025,DYN_SMALL__HGB,0.7,0.4532440617626231,-622.309999999999
241,2555.430000000004,2.3623728488260554,0.6804979253112033,260.6400000000003,91.26999999999953,256.5300000000002,1344.400000000001,67,41,0.6119402985074627,22,16,48,2025,DYN_SMALL__HGB,0.8,0.5223770381902817,-155.77999999999793
241,2478.5400000000022,2.28308743593726,0.6721991701244814,301.6600000000003,92.26999999999998,216.07000000000016,1352.8200000000002,67,22,0.3283582089552239,13,9,24,2025,DYN_SMALL__HGB,0.9,0.6099010814797887,-232.66999999999962
241,2682.520000000003,2.375326845974799,0.6763485477178424,292.57000000000016,92.26999999999998,247.53999999999996,1467.670000000001,67,13,0.19402985074626866,7,5,13,2025,DYN_SMALL__HGB,0.95,0.679629115940169,-28.68999999999869
241,2296.8300000000054,2.3094587891883314,0.6721991701244814,246.32000000000016,70.34000000000015,198.89000000000033,1250.4699999999998,67,59,0.8805970149253731,33,29,69,2025,GEOM_DELTA__LOGIT,0.5,0.4635797543183776,-414.37999999999647
241,2729.0400000000054,2.5487869243211088,0.6763485477178424,263.3299999999999,91.70000000000027,198.89000000000033,1333.3800000000006,67,48,0.7164179104477612,29,26,61,2025,GEOM_DELTA__LOGIT,0.7,0.546678448151572,17.830000000003565
241,2610.0500000000043,2.491167430327826,0.6846473029045643,280.1699999999996,80.64999999999964,182.12999999999965,1279.9900000000002,67,38,0.5671641791044776,24,20,48,2025,GEOM_DELTA__LOGIT,0.8,0.6045884181492673,-101.15999999999758
241,2674.950000000002,2.453192737703318,0.6929460580912863,307.71000000000004,80.64999999999964,182.12999999999965,1338.6100000000001,67,25,0.373134328358209,13,11,29,2025,GEOM_DELTA__LOGIT,0.9,0.7076359887031951,-36.25999999999976
241,2573.8800000000037,2.341512738189555,0.6887966804979253,319.3000000000002,92.2199999999998,161.8099999999995,1282.190000000001,67,18,0.26865671641791045,9,7,17,2025,GEOM_DELTA__LOGIT,0.95,0.7782922976579258,-137.3299999999981
241,2415.120000000006,2.3892615133282,0.6639004149377593,228.24000000000024,70.34000000000015,256.5300000000002,1353.8100000000009,67,61,0.9104477611940298,36,31,76,2025,GEOM_DELTA__HGB,0.5,0.307472050118221,-296.08999999999605
241,2420.4900000000034,2.3700318100003437,0.6597510373443983,274.1199999999999,84.63999999999942,216.07000000000016,1279.3399999999997,67,50,0.746268656716418,28,21,63,2025,GEOM_DELTA__HGB,0.7,0.4417798770232493,-290.71999999999844
241,2381.6200000000013,2.303383207644234,0.6680497925311203,292.57000000000016,84.63999999999942,182.12999999999965,1279.0099999999998,67,32,0.47761194029850745,20,13,39,2025,GEOM_DELTA__HGB,0.8,0.5269649251949405,-329.5900000000006
241,2642.870000000001,2.364054895200542,0.6846473029045643,292.57000000000016,92.2199999999998,182.12999999999965,1348.54,67,15,0.22388059701492538,6,5,20,2025,GEOM_DELTA__HGB,0.9,0.6316479550894355,-68.34000000000106
241,2694.0299999999997,2.3894559314253887,0.6846473029045643,313.71000000000004,92.2199999999998,182.12999999999965,1406.1,67,11,0.16417910447761194,5,4,15,2025,GEOM_DELTA__HGB,0.95,0.6990542417496576,-17.18000000000211
241,2163.390000000008,2.243849431083163,0.6680497925311203,246.32000000000016,55.0300000000002,198.89000000000033,1188.6400000000008,67,59,0.8805970149253731,36,32,71,2025,FULL_NO_RANK__LOGIT,0.5,0.46343767954162596,-547.8199999999938
241,2770.500000000005,2.640892911082029,0.6887966804979253,263.3299999999999,78.39000000000033,256.5300000000002,1475.0300000000007,67,49,0.7313432835820896,30,25,64,2025,FULL_NO_RANK__LOGIT,0.7,0.5551330743313073,59.29000000000315
