feature,auc_all,within_pair,last_max,sign
h1_mean_range_24h,0.5149877939098034,0.5646408839779006,0.448,1
dprev_h4liq_distance_ratio,0.5549980727226005,0.56353591160221,0.44,1
h1liq_same_d3_S,0.5856417833740204,0.5629834254143646,0.404,1
h4_range_3b,0.5073493511499423,0.5629834254143646,0.444,1
h4liq_same_gap23_S,0.5318289862520879,0.5624309392265193,0.44,1
h4liq_same_missing3,0.5261386997301811,0.5624309392265193,1.0,1
h1_eff_24h,0.5007098805088012,0.5624309392265193,0.448,1
h1liq_opp_gap23_S,0.5054188616214828,0.5624309392265193,0.364,1
h4liq_same_missing2,0.5288497366054221,0.5624309392265193,0.988,1
h1liq_same_gap12_S,0.5064146216112039,0.5607734806629834,0.344,1
h1liq_nearest_margin_S,0.5814724399331878,0.5596685082872929,0.408,-1
atr14,0.508653475523577,0.5574585635359116,0.452,1
h1liq_same_missing3,0.5238773609148144,0.5569060773480663,0.996,1
dfirst_h4liq_same_d3_S,0.5403796736476937,0.556353591160221,0.448,1
anchor_mae_S,0.501246306051651,0.556353591160221,0.332,1
h1liq_same_missing2,0.5297844661441604,0.5558011049723757,1.0,1
h1_edge_48h,0.5046254657587048,0.554696132596685,0.44,1
h1_body_l19,0.5255075163818579,0.554696132596685,0.396,1
dfirst_h4liq_same_d2_S,0.5528716433251959,0.5535911602209945,0.364,1
dprev_h1liq_distance_ratio,0.5592380830014133,0.5535911602209945,0.48,1
h1_range_l19,0.53374983939355,0.5535911602209945,0.384,1
h1_body_l18,0.5133335474752666,0.5524861878453039,0.428,1
h1_closechg_l19,0.5252923037389181,0.5502762430939226,0.388,1
h1_range_l7,0.5108987536939483,0.5502762430939226,0.416,1
h1liq_opp_age2_h,0.5045210715662342,0.5497237569060773,0.404,1
h4liq_same_missing1,0.5281607349351151,0.549171270718232,0.996,1
h1liq_same_missing1,0.5281607349351151,0.549171270718232,0.996,1
h1_closechg_l18,0.5123602723885391,0.5480662983425414,0.424,1
h1_closechg_l22,0.5237665424643454,0.5469613259668509,0.42,1
h1_path_l8,0.5013169728896313,0.5469613259668509,0.396,-1
dprev_anchor_mfe_S,0.5168508287292818,0.5430939226519337,0.528,1
h1_body_l22,0.5234806629834254,0.5425414364640884,0.42,1
hours_since_prev_child,0.5157908261595786,0.5414364640883977,0.316,1
h1_closechg_l1,0.5119683926506489,0.5403314917127072,0.404,-1
h1_range_l16,0.515835795965566,0.5392265193370166,0.376,1
h4_mean_range_2b,0.5136900937941667,0.5386740331491713,0.46,1
h1_body_l1,0.5129545162533727,0.538121546961326,0.408,-1
h1_eff_6h,0.5264326095335988,0.538121546961326,0.376,-1
dfirst_h1_eff_6h,0.5041356160863419,0.538121546961326,0.376,-1
h1liq_same_gap23_S,0.5104940254400616,0.5375690607734807,0.372,1
h1_path_l5,0.5061030450982911,0.5359116022099447,0.42,-1
h4liq_opp_age3_h,0.5065993190286522,0.5353591160220994,0.428,1
h1_range_l2,0.531478864191186,0.5348066298342542,0.408,1
h1_body_l17,0.5166452524733394,0.5337016574585636,0.42,1
h1_path_l4,0.5077187459848388,0.5337016574585636,0.404,-1
