N,PnL,PF,WR,DD,P95,Max,Top10,routes,armed_routes,arm_rate,arm_exact_last,arm_early,ha_before_true_last,changed,year,method,q,threshold
241,2497.430000000002,2.2511171449182448,0.6721991701244814,313.3000000000002,87.52000000000044,241.4699999999998,1431.5800000000008,67,6,0.08955223880597014,3,3,2,6,2025,H4ALL_HGB,0.95,0.652473469647082
165,2599.0999999999995,2.0278322629630807,0.6727272727272727,415.60000000000036,120.13399999999957,394.10000000000036,1960.38,49,41,0.8367346938775511,15,26,20,47,2026,MECH_D1,0.5,1.0286547911386092
165,2628.039999999999,2.00168469519214,0.6727272727272727,415.60000000000036,137.7959999999997,287.75,1953.3399999999992,49,27,0.5510204081632653,14,13,12,37,2026,MECH_D1,0.7,1.8890145005381662
165,2859.9399999999996,2.086380453858252,0.6787878787878788,415.60000000000036,143.45799999999994,287.75,2029.4499999999998,49,22,0.4489795918367347,10,12,11,29,2026,MECH_D1,0.8,2.61811064622107
165,2903.9500000000003,2.007986976472958,0.6666666666666666,440.34999999999854,180.06199999999973,287.75,2211.939999999999,49,12,0.24489795918367346,5,7,7,14,2026,MECH_D1,0.9,4.325055372853132
165,3034.070000000001,2.0543971586841554,0.6666666666666666,440.34999999999854,167.91599999999966,450.59000000000015,2331.4999999999995,49,6,0.12244897959183673,2,4,4,7,2026,MECH_D1,0.95,8.116250082250527
165,2686.1699999999983,2.0389685234894137,0.6666666666666666,377.8000000000002,139.28399999999945,287.75,1993.8399999999992,49,32,0.6530612244897959,13,19,14,41,2026,MECH4,0.5,0.526685393258427
165,2612.9499999999994,1.9260263389186592,0.6666666666666666,415.60000000000036,143.45799999999994,287.75,2094.0099999999998,49,16,0.32653061224489793,9,7,6,25,2026,MECH4,0.7,0.6338951310861425
165,3229.860000000001,2.1564248810406146,0.6787878787878788,440.34999999999854,167.91599999999966,450.59000000000015,2322.19,49,12,0.24489795918367346,7,5,5,19,2026,MECH4,0.8,0.7198501872659177
165,3737.360000000001,2.2826456264864685,0.6727272727272727,440.34999999999854,185.95999999999995,592.9399999999996,2797.559999999999,49,5,0.10204081632653061,3,2,2,7,2026,MECH4,0.9,0.7857911985018726
165,3618.86,2.2159208125716106,0.6727272727272727,440.34999999999854,180.06199999999973,592.9399999999996,2772.179999999999,49,3,0.061224489795918366,2,1,1,4,2026,MECH4,0.95,0.8431062734082396
165,2933.8699999999994,2.1763429909464898,0.6727272727272727,330.59000000000015,139.28399999999945,394.10000000000036,2114.9299999999994,49,40,0.8163265306122449,16,24,20,46,2026,H4BASE_LOGIT,0.5,0.4840955815809038
165,2589.320000000002,1.9364155160317396,0.6606060606060606,649.9799999999977,139.97599999999957,394.10000000000036,2107.739999999999,49,26,0.5306122448979592,9,17,13,25,2026,H4BASE_LOGIT,0.7,0.6042884922836821
165,2980.890000000002,2.0746128222875955,0.6727272727272727,433.2599999999984,141.8060000000001,394.10000000000036,2335.919999999999,49,22,0.4489795918367347,6,16,12,20,2026,H4BASE_LOGIT,0.8,0.6513785966208974
165,3165.9300000000003,2.123490918898203,0.6666666666666666,418.7499999999991,143.45799999999994,592.9399999999996,2459.869999999999,49,17,0.3469387755102041,7,10,8,17,2026,H4BASE_LOGIT,0.9,0.7039779899213533
165,3002.6499999999996,2.0183894479434823,0.6666666666666666,440.34999999999854,143.45799999999994,592.9399999999996,2459.869999999999,49,8,0.16326530612244897,2,6,5,8,2026,H4BASE_LOGIT,0.95,0.7512822297956041
165,2639.94,2.058622556390979,0.6606060606060606,330.59000000000015,120.13399999999957,394.10000000000036,2033.9899999999998,49,45,0.9183673469387755,17,28,22,51,2026,SMALL_LOGIT,0.5,0.4373482396222984
165,2923.1499999999987,2.1634057423047235,0.6848484848484848,415.60000000000036,139.28399999999945,394.10000000000036,2114.9299999999994,49,34,0.6938775510204082,14,20,17,43,2026,SMALL_LOGIT,0.7,0.5398941686916762
165,2947.290000000001,2.1371287911816585,0.6727272727272727,415.60000000000036,143.45799999999994,394.10000000000036,2102.34,49,27,0.5510204081632653,14,13,12,31,2026,SMALL_LOGIT,0.8,0.6189120837579608
165,2839.5200000000004,2.024638789855806,0.6666666666666666,440.34999999999854,143.45799999999994,394.10000000000036,2145.1099999999997,49,19,0.3877551020408163,9,10,9,23,2026,SMALL_LOGIT,0.9,0.6858258113847931
165,3120.609999999999,2.086574720488028,0.6727272727272727,440.34999999999854,180.06199999999973,365.3199999999997,2380.049999999999,49,13,0.2653061224489796,4,9,8,16,2026,SMALL_LOGIT,0.95,0.7695078956714038
165,2626.24,2.0258429424080506,0.6606060606060606,377.8000000000002,120.13399999999957,394.10000000000036,2044.63,49,42,0.8571428571428571,13,29,19,49,2026,SMALL_HGB,0.5,0.267640695038276
165,3153.439999999999,2.234232753289655,0.6727272727272727,418.7499999999991,166.22999999999945,394.10000000000036,2309.499999999999,49,35,0.7142857142857143,16,19,14,45,2026,SMALL_HGB,0.7,0.366766068393661
165,2599.3999999999983,1.893298372103413,0.6545454545454545,425.83999999999924,143.45799999999994,394.10000000000036,2279.6399999999994,49,26,0.5306122448979592,12,14,11,32,2026,SMALL_HGB,0.8,0.43531485599657
165,3048.349999999999,2.120206229513016,0.6787878787878788,425.83999999999924,178.3019999999993,287.75,2226.2399999999993,49,21,0.42857142857142855,12,9,7,23,2026,SMALL_HGB,0.9,0.5092826114837653
165,3253.6200000000003,2.093418558696617,0.6727272727272727,425.83999999999924,185.95999999999995,592.9399999999996,2641.889999999999,49,11,0.22448979591836735,5,6,6,12,2026,SMALL_HGB,0.95,0.5711715675171879
165,2305.5599999999986,1.8617466220635779,0.6484848484848484,415.60000000000036,114.14400000000005,394.10000000000036,1967.7999999999993,49,43,0.8775510204081632,15,28,21,49,2026,H4ALL_TREE2,0.5,0.6272881115513138
