PnL,PF,WR,DD,P95,Max,N,routes,event_routes,event_before_last,changed,year,method,q,delta
2597.150000000002,2.279548119463579,0.6763485477178424,302.4300000000003,92.2199999999998,241.4699999999998,241,67,17,4,20,2025,MECH_RATIO_DELTA,0.9,-114.05999999999995
2548.910000000002,2.238892588254167,0.6721991701244814,324.74000000000024,92.2199999999998,241.4699999999998,241,67,13,4,14,2025,MECH_RATIO_DELTA,0.95,-162.29999999999973
2418.600000000001,2.217879964348839,0.6639004149377593,226.0899999999997,88.86999999999989,161.8099999999995,241,67,37,17,50,2025,MECH_PRICE_RETRACE,0.5,-292.61000000000104
2622.730000000003,2.3034724741689114,0.6721991701244814,247.91999999999962,88.86999999999989,245.19000000000005,241,67,26,11,37,2025,MECH_PRICE_RETRACE,0.7,-88.47999999999865
2692.8500000000026,2.3522532113408823,0.6804979253112033,273.8699999999999,92.2199999999998,241.4699999999998,241,67,16,7,18,2025,MECH_PRICE_RETRACE,0.8,-18.359999999999218
2762.2900000000013,2.415136580667639,0.6846473029045643,295.0799999999999,92.2199999999998,241.4699999999998,241,67,10,3,11,2025,MECH_PRICE_RETRACE,0.9,51.07999999999947
2716.1000000000017,2.3801391267232073,0.6804979253112033,296.6700000000001,92.2199999999998,241.4699999999998,241,67,8,3,9,2025,MECH_PRICE_RETRACE,0.95,4.889999999999873
2385.8000000000015,2.3987793366673924,0.6804979253112033,188.8800000000001,70.34000000000015,182.12999999999965,241,67,48,25,70,2025,MECH_D1,0.5,-325.4100000000003
3129.5000000000027,2.958753207736126,0.6970954356846473,236.25999999999976,92.13999999999987,198.89000000000033,241,67,38,16,60,2025,MECH_D1,0.7,418.2900000000009
2981.1500000000024,2.7391722866543797,0.6970954356846473,282.5499999999997,92.13999999999987,198.89000000000033,241,67,30,14,47,2025,MECH_D1,0.8,269.9400000000005
2778.120000000002,2.494963192561026,0.6929460580912863,290.73,77.52999999999975,247.53999999999996,241,67,21,10,32,2025,MECH_D1,0.9,66.91000000000031
2840.7500000000023,2.4844358281644388,0.6887966804979253,319.3000000000002,92.26999999999998,247.53999999999996,241,67,14,7,26,2025,MECH_D1,0.95,129.54000000000042
2147.130000000005,2.1166509779855778,0.6639004149377593,225.5699999999997,77.52999999999975,153.63999999999987,241,67,42,17,59,2025,SMALL__LOGIT,0.5,-564.0799999999967
2034.4500000000048,1.971125664696845,0.6514522821576764,269.74999999999955,81.11999999999989,171.3699999999999,241,67,34,13,50,2025,SMALL__LOGIT,0.7,-676.759999999997
2503.570000000003,2.2328363059771346,0.6597510373443983,315.59000000000015,92.2199999999998,241.4699999999998,241,67,24,7,31,2025,SMALL__LOGIT,0.8,-207.63999999999896
2498.0200000000027,2.213408591913268,0.6597510373443983,324.74000000000024,92.26999999999998,241.4699999999998,241,67,16,6,20,2025,SMALL__LOGIT,0.9,-213.18999999999915
